"","Directives","Conditionals","Atomicgroups","Namedcapture","Comments","Embeddedcode","Unicodepropertysupport","Balancinggroups","Variable-lengthlook-behinds"
"Boost.Regex","Yes","Yes","Yes","Yes","Yes","No","Some","No","No"
"Boost.Xpressive","Yes","No","Yes","Yes","Yes","No","No","No","No"
"CL-PPCRE","Yes","Yes","Yes","Yes","Yes","Yes","Some","No","No"
"EmEditor","Yes","Yes","?","?","Yes","No","?","No","No"
"FREJ","No","No","Yes","Yes","Yes","No","?","No","No"
"GLib/GRegex","Yes","Yes","Yes","Yes","Yes","No","Some","No","No"
"GNUgrep","Yes","Yes","?","Yes","Yes","No","No","No","No"
"Haskell","?","?","?","?","?","No","No","No","No"
"RXP","Yes","Yes","No","Yes","Yes","No","No","No","No"
"ICURegex","Yes","No","Yes","Yes","Yes","No","Yes","No","No"
"Java","Yes","No","Yes","Yes","Yes","No","Some","No","No"
"JavaScript(ECMAScript)","No","No","No","No","No","No","Some","No","No"
"JGsoft","Yes","Yes","Yes","Yes","Yes","No","Some","No","Yes"
"Lua","No","No","No","No","No","No","No","No","No"
".NET","Yes","Yes","Yes","Yes","Yes","No","Some","Yes","Yes"
"OCaml","No","No","No","No","No","No","No","No","No"
"PCRE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Perl","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"PHP","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Python","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes"
"Qt/QRegExp","No","No","No","No","No","No","No","No","No"
"RE2","Yes","No","?","Yes","No","No","Some","No","No"
"Ruby/Onigmo","Yes","Yes","Yes","Yes","Yes","Yes","Some","No","No"
"Tcl","Yes","No","Yes","No","Yes","No","Yes","No","No"
"TRE","Yes","No","No","No","Yes","No","?","No","No"
"Vim","Yes","No","Yes","No","No","No","No","No","Yes"
"RGX","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No"
"XMLSchema","No","No","No","No","No","No","Yes","No","No"
"XPath3/XQuery","No","No","No","No","No","No","Yes","No","No"
"XRegExp","Leadingonly","No","No","Yes","Yes","No","Yes","No","No"
