"Name","NTFS","ext3","ext4","ReiserFS","Reiser4","JFS","XFS","UFS","UDF","HFS+","BeFS","AFS","SFS","UBIFS","JFFS2"
"AcronisOSSelector","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AiR-BOOT","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AKernelLoader","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Barebox","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","Yes","Yes"
"BOOTBOOT","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootItBareMetal","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootKey","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"bootload","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX(Apple)","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX(Linux)","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Clover","Yes","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"DarwinBootLoader","Yes","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"DasU-Boot","?","Yes","Yes","Yes","?","?","?","Yes","?","?","?","?","?","Yes","Yes"
"extipl","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"FreeLoader(ReactOS)","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GAG","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GNUGRUB2","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"GRUBLegacy","No","Yes","patch","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No"
"Grub2Win","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GRUB4DOS","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?","?","?","?","?","?","?"
"Gujin","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"systemd-boot/Gummiboot","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"iBoot","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"LILO","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Limine","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"loader(FreeBSD)","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"loadlin","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"LOLO","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MasterBooter","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MultipleBootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NTLDR","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"OpenCore","Yes","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"OSL2000BootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"PLoPBootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RedBoot","?","?","?","?","?","?","?","?","?","?","?","?","?","?","Yes"
"rEFInd","Partial","Yes","Yes","?","?","?","?","?","?","Yes","?","?","?","?","?"
"rEFIt","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SmartBootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SPFdisk","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Syslinux","Yes","Yes","Partial","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No"
"TianocoreEDKII","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WindowsBootManager","Yes","No","No","No","No","No","No","No","?","No","No","No","No","No","No"
"XOSL","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"yaboot","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
