"Name","Keyboardmapping","Sessiontabs","ZMODEMtransfers","Findtextinbuffer","Mouseinputsupport","Unicodesupport","URLhyperlinking","Publickeyauthentication","Smartcardsupport","Hardwareencryption","FIPS140-2validation","Scripting","SharedDatabase","Auto-reconnect","CACertificates"
"AbsoluteTelnet","full","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","?"
"BitviseSSHClient","?","No","No","No","Yes","Yes","No","Yes","No","?","Partial","Yes","No","Yes","No"
"OpenSSH(OpenBSDSecureShell)","?","No","No","?","Yes","Yes","notnative","Yes","Yes","Yes","Partial","No","No","?","Yes"
"PuTTY","No","No","No","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No"
"SecureCRT","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","?","?"
"SmartFTP","Partial","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","AES-NI","Yes","No","?","?","?"
"TeraTerm","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","?","?"
"TN3270Plus","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","?","?","?"
"TtyEmulator","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","?","?","?"
"wolfSSH","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","?","Yes"
"ZOC","full","Yes","Yes","Alt+F","Yes","UTF-8","Yes","Yes","Yes","No","No","Yes","?","?","?"
