"","Selectionediting","Layers","AlphaChannel","Histogram","Scripting","HDR","Retouching","Resizing","Noiseremoval","Lenscorrection","SizedPrinting","Sharpening","Colorcorrection","Imagelibrary","Plug-insupport","Non-destructiveediting"
"AbilityPhotopaint","Yes","Yes","?","Yes","Yes","No","?","Yes","?","?","?","?","?","?","?","?"
"ACDCanvas","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Yes","?","Yes","No","?"
"ACDSee(Win)","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","No","Partial"
"AcornImageEditor","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","No","?","Yes","Yes","No","Yes","Yes"
"AdobeFireworks*","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?"
"AdobePhotoshop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(ThroughMiniBridge)","Yes","Partial"
"AdobePhotoshopLightroom","Yes","No","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AffinityPhoto","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Aperture","Yes","Partial","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AutodeskSketchBookPro","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","Yes"
"Artipic","Yes","Yes","?","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes"
"ArtRage","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","?","?","?"
"Artweaver","Yes","Yes","?","No","Viaplug-in","No","Yes","Yes","Yes","?","?","Yes","Yes","No","Yes","?"
"Bibble*","Partial","Partial","?","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"BloomImageEditor","Yes","Yes","?","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes"
"BlackInk","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes"
"BrushStrokesImageEditor","Yes","No","?","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"CaptureOne","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ChasysDrawIES","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"CinePaint","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","?"
"CodedColorPhotoStudioPro","Yes","Yes","?","Yes","No","?","?","?","?","?","?","?","?","?","?","?"
"CorelPaintShopPro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"CorelPainter","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","?"
"CorelPhoto-Paint","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"darktable","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"DeluxePaint*","No","Partial","?","Partial","Yes","No","Yes","Yes","No","No","?","No","No","?","No","?"
"DigiKam","No","No","?","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ErdasImagine","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?"
"Fatpaint","Yes","Yes","?","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","?"
"Fotografix","Yes","Yes","?","No","Partial","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","?"
"GIMP","Yes","Yes","Yes","Yes","Yes","2.10+","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"GIMPshop","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"GraphicConverter","Yes","Partial","?","Yes","Yes","No","Yes","Yes","Yes","Viaplug-in","Yes","Yes","Yes","Yes","Yes","?"
"HDRPhotoStudio","No","No","?","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","?"
"HeliconFilter","Partial","No","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"iPhoto*","No","No","?","Yes","Partial","No","Yes","Partial","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"IrfanView","Yes","No","?","Yes","No","No","Viaplug-in","Yes","No","No","?","Yes","Yes","?","Yes","?"
"IridientDeveloper","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kolourpaint","Yes","No","?","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Krita","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"LiveQuartz","Yes","Yes","?","No","No","No","Yes","Yes","Yes","No","?","Yes","Yes","No","No","Partial"
"MacPaint*","Yes","No","?","No","No","No","?","?","?","?","?","?","?","?","?","?"
"MicrosoftOfficePictureManager*","Partial","No","?","No","No","No","No","Yes","No","No","Yes","No","?","No","No","?"
"MicrosoftPaint","No","No","?","No","No","No","Partial","Yes","No","No","No","No","No","No","No","No"
"MicrosoftPhotoEditor*","Yes","No","?","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","?"
"mtPaint","Yes","Yes","Yes","No","Yes","No","?","Yes","No","No","No","Yes","Yes","No","No","Yes"
"OpenCanvas","Yes","Yes","?","Yes","No","?","Yes","Yes","No","No","Yes","Yes","Yes","No","?","?"
"Paint.NET","Yes","Yes","?","Yes","Partial","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No"
"PaintToolSAI","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"PCPaintbrush*","Yes","No","?","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Photogenics","Yes","Yes","?","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?"
"PhotoLine","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PhotoPerfect*","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Photos","No","No","?","Yes","Partial","No","Yes","Partial","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"PhotoRaster","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","?"
"Picasa*","No","No","?","Yes","No","Partial","Partial","Partial","No","No","Yes","Yes","Yes","Yes","No","Yes"
"PicMaster","Yes","No","?","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?"
"PixBuilderPhotoEditor","Yes","Yes","?","Yes","No","No","?","?","?","?","?","?","?","?","?","?"
"Pixelmator","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
