"","read-write","read-only","write-only"
"ABAPObjects","N/A","N/A","N/A"
"APL(Dyalog)",":PropertyNumberedDefaultname?result?Getinstructions??Setargumentsinstructions?:EndPropertyBar",":PropertyNumberedDefaultBar?result?Getinstructions?:EndPropertyBar",":PropertyNumberedDefaultBar?Setargumentsinstructions?:EndPropertyBar"
"C++(STL)","type&operator[](typeindex){instructions}","typeoperator[](typeindex){instructions}",""
"C#","typethis[typeindex]{get{instructions}set{instructions}}","typethis[typeindex]{get{instructions}}","typethis[typeindex]{set{instructions}}"
"D","typeopIndex(typeindex){instructions}typeopIndexAssign(typevalue,typeindex){instructions}","typeopIndex(typeindex){instructions}","typeopIndexAssign(typevalue,typeindex){instructions}"
"Java","N/A","N/A","N/A"
"Objective-C(recentClangcompiler)","N/A","-(id)objectAtIndexedSubscript:(NSUInteger)index{instructionsreturnvalue;}or-(id)objectForKeyedSubscript:(id)index{instructionsreturnvalue;}","-(void)setObject:(id)valueatIndexedSubscript:(NSUInteger)index{instructions}or-(void)setObject:(id)valueforKeyedSubscript:(id)index{instructions}"
"Swift","subscript(index:type)->returntype{get{instructions}set«(newIndex)»{instructions}}","subscript(index:type)->returntype{instructions}",""
"Eiffel","bracket_namealias""[]""(index:TYPE):TYPEassignset_itemdoinstructionsendset_item(value:TYPE;index:TYPE):doinstructionsend","bracket_namealias""[]""(index:TYPE):TYPEdoinstructionsend",""
"Python","def__getitem__(self,index):Tab?instructionsTab?returnvaluedef__setitem__(self,index,value):Tab?instructions","def__getitem__(self,index):Tab?instructionsTab?returnvalue","def__setitem__(self,index,value):Tab?instructions"
"VisualBasic.NET","DefaultPropertyItem(IndexAstype)AstypeGetinstructionsEndGetSet(ByValValueAstype)instructionsEndSetEndProperty","DefaultReadOnlyPropertyItem(IndexAstype)AstypeGetinstructionsEndGetEndProperty","DefaultWriteOnlyPropertyItem(IndexAstype)AstypeSet(ByValValueAstype)instructionsEndSetEndProperty"
"PHP","","",""
"Perl","","",""
"Raku","«our«type»»«multi»methodpostcircumfix:<[]>isrw(«$self:»type$index){instructions...returnvalue;}or«our«type»»«multi»methodpostcircumfix:<{}>isrw(«$self:»type$key){instructions...returnvalue;}","«our«type»»«multi»methodpostcircumfix:<[]>(«$self:»type$index){instructions...returnvalue;}or«our«type»»«multi»methodpostcircumfix:<{}>(«$self:»type$key){instructions...returnvalue;}","N/A"
"Ruby","def[](index)instructionsexpressionresultinginreturnvalueenddef[]=(index,value)instructionsend","def[](index)instructionsexpressionresultinginreturnvalueend","def[]=(index,value)instructionsend"
"WindowsPowerShell","N/A","N/A","N/A"
"OCaml","N/A","",""
"F#","memberthis.Itemwithget(index)=expressionandsetindexvalue=expression","memberthis.Itemwithget(index)=expression","memberthis.Itemwithsetindexvalue=expression"
"COBOL","N/A","N/A","N/A"
"Cobra","pro[index«astype»]astypeTab?getTab?Tab?instructionsTab?Tab?returnvalueTab?setTab?Tab?instructions","get[index«astype»]astypeTab?instructionsTab?returnvalue","set[index«astype»]astypeTab?instructions"
