"","Windows","macOS","Linux","iOS","BSD","Unix","AmigaOS","Other"
"AbilityPhotopaint","Yes","No","No","","No","No","No","No"
"ACDCanvas","Yes","Yes","No","","No","No","No","No"
"ACDSee","Yes","Yes","No","","No","No","No","No"
"AcornImageEditor","No","Yes","No","","No","No","No","No"
"AdobeFireworks*","Yes","Yes","No","","No","No","No","No"
"AdobePhotoshop","Yes","Yes","No","Yes(iPad)","No","No","No","No"
"AdobePhotoshopLightroom","Yes","Yes","No","","No","No","No","No"
"AffinityPhoto","Yes","Yes","No","Yes(iPad)","No","No","No","No"
"Aperture","No","Yes","No","","No","No","No","No"
"AutodeskSketchBookPro","Yes","Yes","No","Yes","No","No","No","Android"
"Artipic","Yes","Yes","No","","No","No","No","No"
"ArtRage","Yes","Yes","No","Yes","No","No","No","Android"
"Artweaver","Yes","No","No","","No","No","No","No"
"Bibble*","Yes","Yes","Yes","","No","No","No","No"
"BlackInk","Yes","No","No","","No","No","No","No"
"BloomImageEditor","Yes","Yes","Yes","","No","No","No","No"
"BrushStrokesImageEditor","Yes","No","No","","No","No","No","No"
"CaptureOne","Yes","Yes","No","","No","No","No","No"
"ChasysDrawIES","Yes","No","No","","No","No","No","No"
"CinePaint","Version0.17only","Yes","Yes","","Yes","Yes","No","No"
"CodedColorPhotoStudioPro","Yes","No","No","","No","No","No","No"
"CorelPaintShopPro","Yes","No","No","","No","No","No","No"
"CorelPainter","Yes","Yes","No","","No","No","No","No"
"CorelPhoto-Paint","Yes","No","No","","No","No","No","No"
"darktable","Yes","Yes","Yes","","Yes","No","No","Solaris"
"DeluxePaint*","No","No","No","","No","No","Yes","AtariST,DOS"
"DigiKam","Yes","Yes","Yes","","Yes","Yes","No","No"
"ErdasImagine","Yes","No","No","","No","Yes","No","No"
"Fatpaint","Yes","Yes","Yes","","No","No","No","No"
"Fotografix","Yes","No","No","","No","No","No","No"
"F-Spot","No","No","Yes","","Yes","No","No","No"
"G'MIC","Yes","Yes","Yes","","Yes","Yes","No","No"
"GIMP","Yes","Yes","Yes","No","Yes","Yes","NeedsX11Cygnix","SkyOS"
"GimPhoto","Yes","Yes","Yes","","No","No","No","No"
"GIMPshop","Yes","Yes","Yes","","Yes","Yes","No","No"
"GNUPaint","No","No","Yes","","Yes","No","No","No"
"GrafX2","Yes","Yes","Yes","","Yes","Yes","Yes","Haiku,MiNT,DOS"
"GraphicConverter","No","Yes","No","","No","No","No","No"
"GraphicsMagick","Yes","Yes","Yes","","Yes","No","No","No"
"gThumb","No","No","Yes","","Yes","No","No","No"
"HDRPhotoStudio","Yes","Yes","No","","No","No","No","No"
"HeliconFilter","Yes","No","No","","No","No","No","No"
"ImageJ","Yes","Yes","Yes","","Yes","No","No","No"
"ImageMagick","Yes","Yes","Yes","","Yes","No","No","No"
"iPhoto*","No","Yes","No","","No","No","No","No"
"IrfanView","Yes","No","No","","No","No","No","No"
"IridientDeveloper","No","Yes","No","","No","No","No","No"
"Kolourpaint","Yes","No","Yes","","Yes","Yes","No","No"
"Krita","Yes","Yes","Yes","","Yes","Yes","No","No"
"LazPaint","Yes","Partial","Yes","","No","No","No","No"
"LiveQuartz","No","Yes","No","","No","No","No","No"
"MacPaint*","No","No","No","","No","No","No","MacOS"
"MicrosoftOfficePictureManager*","Yes","Yes","No","","No","No","No","No"
"MicrosoftPaint","Yes","No","No","","No","No","No","No"
"MicrosoftPhotoEditor*","Yes","No","No","","No","No","No","No"
"mtPaint","Yes","Yes","Yes","No","Yes","Yes","No","No"
"MyPaint","Yes","Yes","Yes","","Yes","Yes","No","No"
"OpenCanvas","Yes","No","No","","No","No","No","No"
"Paint.NET","Yes","No","Partial","","No","No","No","No"
"PaintToolSAI","Yes","No","No","No","No","No","No","No"
"PCPaintbrush*","No","No","No","","No","No","No","DOS"
"Pencil2D","Yes","Yes","Yes","","Yes","No","No","No"
"Phatch","Yes","Yes","Yes","","Yes","No","No","No"
"Photogenics","Yes","No","Yes","","No","No","Uptoversion5","PocketPC"
"PhotoLine","Yes","Yes","No","","No","No","No","ATARIST"
"PhotoPerfect*","Yes","No","No","","No","No","No","No"
"Photos","No","Yes","No","","No","No","No","No"
"PhotoRaster","Yes","Yes","Yes","","Yes","Yes","No","No"
"Picasa*","Yes","Yes","Uptoversion3.0","","No","No","No","No"
"PicMaster","Yes","No","No","","No","No","No","No"
"Pinta","Yes","Yes","Yes","","Yes","Yes","No","No"
"PixBuilderPhotoEditor","Yes","No","No","","No","No","No","No"
"Pixelmator","No","Yes","No","","No","No","No","No"
"PixenApp","No","Yes","No","","No","No","No","No"
"Pixia","Yes","No","No","","No","No","No","No"
"PMview","Yes","No","No","","No","No","No","OS/2"
"ProjectDogwaffle","Yes","No","No","","No","No","No","No"
"QFX","Yes","No","No","","No","No","No","DOS3.3andup"
"Rawstudio","No","Yes","Yes","","Yes","No","No","No"
"RawTherapee","Yes","Yes","Yes","","No","No","No","No"
"Seashore","No","Yes","No","","No","No","No","No"
"SerifPhotoPlus","Yes","No","No","","No","No","No","No"
"Shotwell","No","No","Yes","","Yes","No","No","No"
"TurboPlay","Yes","No","No","No","No","No","No","No"
"TuxPaint","Yes","Yes","Yes","","Yes","Yes","No","No"
"TVPaint","Yes","Yes","Yes","","No","No","Uptoversion3.59","No"
"UFRaw","Yes","Yes","Yes","","Yes","No","No","No"
"UleadPhotoImpact*","Yes","No","No","","No","No","No","No"
"UltimatePaint*","Yes","No","No","","No","No","No","No"
"WinImages","Yes","No","No","","No","No","No","No"
"XaraPhoto&GraphicDesigner","Yes","No","No","","No","No","No","No"
"XnView","Yes","Yes","Yes","","No","No","No","varying"
"XPaint","No","Yes","Yes","","Yes","Yes","No","IBMAIX"
"ZonerPhotoStudio","Yes","No","No","","No","No","No","No"
