"OLAPserver","Semi-additivemeasures","Many-to-Many","Multi-CubeModel","Perspectives","KPI","Multilingual","NamedSets","Multi-attributeHierarchies","Actions"
"ApacheDruid","Yes","Yes","Yes","?","No","Yes","?","Yes","Yes"
"ApacheKylin","No","No","Yes","No","Yes","Yes","No","Yes","Yes"
"ApachePinot","Yes","Yes","?","?","No","Yes","?","Yes","Yes"
"ClickHouse","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Essbase","Yes","?","?","?","Yes","Yes","Yes","Yes","?"
"IBMCognosBI","Yes","Yes","?","?","?","?","Yes","Yes","?"
"IBMCognosTM1","Yes","Yes","Yes","?","?","?","?","?","?"
"icCube","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?"
"JedoxOLAPServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Kyvos","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"MicrosoftAnalysisServices","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MicroStrategyIntelligenceServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MondrianOLAPserver","Yes","?","?","?","?","?","?","?","?"
"OracleDatabaseOLAPOption","Yes","?","?","?","?","?","?","?","?"
"SAPNetWeaverBW","Yes","?","?","?","?","?","?","?","?"
"SASOLAPServer","Yes","?","?","?","?","?","?","?","?"
