"Name","Individualview","Familyview","Pedigreeview","Chronologyview","Ancestorcharts","Ancestornarrativereports","Ancestorpedigreereports","Descendantcharts","Descendantnarrativereports","Fancharts","ResearchManager","DNAcharts","ResearchGuidance","Mapping"
"AgelongTree","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Ahnenblatt","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"AncestralQuest","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Ancestris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Brother'sKeeper","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"FamilyHistorian","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"FamilyTreeBuilder","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"FamilyTreeMaker","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"GEDitCOMII","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"GenboxFamilyHistory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"GenealogyJ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"GenoPro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","No","Yes"
"Gramps","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Heredis","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"KithandKinPro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"LegacyFamilyTree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"LifeLines","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","No","?"
"MacFamilyTree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"PersonalAncestralFile","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","?","No","?"
"Reunion","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"RootsMagic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TheMasterGenealogist","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","No","?"
