"Editor","WYSIWYG","FTPUpload","WebDAVUpload","Server-sidescripting","Sharedediting","Spellchecking","Templates","TemplatesUpdateSync","PagePreview","FormHandler"
"Amaya","Yes","No","Yes","No","No","Yes","Partial","No","Yes","?"
"Aptana","No","Yes","?","Yes(viaplugins)","Yes","No","Some(i.e.Snippets)","?","Yes","?"
"Arachnophilia","No","?","?","?","?","Yes","Yes","?","Yes","?"
"Bluefish","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"BlueGriffon","Yes","No(add-on)","No","?","No","Yes","Yes(viacommercialproprietaryadd-on)","No","Yes","?"
"Brackets","""LivePreview""in-browser","Yes(viaextension)","No","Yes","No","Yes(viaextension)","Yes(viaextension)","No","Yes","?"
"ClarisHomepage","Yes","Yes","No","No","No","Yes","Yes","No","Yes","?"
"Codelobster","No","Yes","No","Yes","No","No","Yes","?","Yes","?"
"CoffeeCupHTMLEditor","No","Yes","?","No","No","Yes","Yes","?","Yes","?"
"Dreamweaver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EZGenerator","Yes","Yes","?","?","?","Yes","Yes","?","Yes","?"
"Freeway","Yes","Yes","No","Yes","No","Yes","Yes","?","Yes","Yes"
"GoLive","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","?"
"HTML-Kit","No","Yes","?","Yes","No","Yes","Yes","?","Yes","?"
"KompoZer","Yes","Yes","No","No","No","Yes","Yes","No","Yes","?"
"LibreOffice","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","?"
"Maqetta","Yes","?","?","?","?","?","?","?","Yes","?"
"MicrosoftExpressionWeb","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"MicrosoftFrontPage","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"MicrosoftSharePointDesigner","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"MicrosoftVisualWebDeveloper","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Mobirise","Yes","Yes","No","Yes","No","No","Yes","?","Yes","Yes"
"WebArchitect","No","Yes","?","Yes","No","Yes","Yes","?","Yes","?"
"Nvu","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","?"
"openElement","Yes","Yes","No","Yes","No","Yes","Yes","?","Yes","Yes"
"OpenOffice.org","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","?"
"oXygenXMLEditor","Partial(morelikeWYSIWYM)","YesandSFTP","Yes","Yes","Yes","Yes","Yes","Yes","Partial(viaXSLTtobrowser)","maybe,dependsontype."
"QuantaPlus","Yes","Yes","No(cvsinstead)","Yes","Yes","Yes","Yes","Yes","Yes","?"
"RocketCake","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes"
"SeaMonkeyComposer","Yes","Yes","Yes","No","No","Yes","No","No","Yes","?"
"TOWeb","Yes","Yes","No","Yes","No","Yes","Yes","?","Yes","Yes"
"Editor","WYSIWYG","FTPUpload","WebDAVUpload","Server-sidescripting","Sharedediting","Spellchecking","Templates","TemplatesUpdateSync","PagePreview","FormHandler"
