"Firewall","License","Cost","OS"
"Clavister","Proprietary","IncludedonallClavisterNGFWs","ProprietaryoperatingsystemcOSCore"
"CheckPoint","Proprietary","IncludedonCheckPointsecuritygateways","ProprietaryoperatingsystemCheckPointIPSOandGaia(Linux-based)"
"FortiGate","Proprietary","IncludedonallFortigatedevices","Proprietary,FortiOS,BasedontheLinuxkernel"
"PaloAltoNetworks","Proprietary","IncludedonPaloAltoNetworksfirewalls","Proprietary,PAN-OS,BasedontheLinuxkernel"
"Sophos","Proprietary","IncludedonSophosUTM","Linux-basedappliance"
"CiscoASAFirepower","Proprietary","IncludedonallCISCOASAdevices","Proprietaryoperatingsystem.BasedontheLinuxkernel."
"CiscoPIX","Proprietary","IncludedonallCISCOPIXdevices","Proprietaryoperatingsystem"
"JuniperSSG","Proprietary","IncludedonNetscreensecuritygateways","ProprietaryoperatingsystemScreenOS"
"JuniperSRX","Proprietary","IncludedonSRXsecuritygateways","ProprietaryoperatingsystemJunos"
"Sonicwall","Proprietary","IncludedonDellappliance","ProprietaryoperatingsystemSonicOSBasedontheLinuxkernel"
"BarracudaFirewall","Proprietary","IncludedFirewallNextGenerationappliance","Windows-basedapplianceembeddedfirewalldistribution"
"Cyberoam","Proprietary","IncludedFirewallSophosappliance","Windows-basedapplianceembeddedfirewalldistribution"
"D-Link","Proprietary","IncludedFirewallDFL","Windows-basedapplianceembeddedfirewalldistribution"
"EndianFirewall","Proprietary","Free/Paid","Linux-basedappliance"
"ForcepointNGFW","Proprietary","IncludedonallForcepointNGFWdevices","Proprietaryoperatingsystem"
"OPNsense","SimplifiedBSD/FreeBSDLicense","Free/Paid","FreeBSD-basedappliancefirewalldistribution"
"pfSense","Apache2.0/Proprietary(Plus)","Free/Paid","FreeBSD-basedappliancefirewalldistribution"
"Zeroshell","GPL","Free/Paid","Linux/NanoBSD-basedappliancefirewalldistribution"
"SmoothWall","GPL","Free/Paid","Linux-basedapplianceembeddedfirewalldistribution"
"IPFire","GPL","Free(Donationswelcomed)","Linux-basedapplianceembeddedfirewalldistribution"
"WatchGuard","Proprietary","IncludedonallFireboxdevices","Proprietary,FirewareOS,BasedontheLinuxkernel"
"WinGate","Proprietary","Free/Paid","Windows-basedapplianceembeddedfirewalldistribution"
