"Format","Fullname","Owner","basedon","Fileextension","MIMEtype","Application","Patented"
"Abc","AdvancedBitonalCompression","LEADTechnologies","",".abc","","Bitonaldocumentandcheckimages.","Yes"
"ADRG","ARCDigitizedRasterGraphics","","",".adrg","","",""
"AdobeResource","","AdobeSystems","TIFF?","","","",""
"ADRI","ARCDigitizedRasterImages","","",".adri","","",""
"AFDesign","AffinityDesigner","SerifEurope","",".afdesign","","VectorgraphicsdocumentforAffinityDesigner.CanalsobeopenedbyAffinityPhoto.",""
"AFPhoto","AffinityPhoto","SerifEurope","",".afphoto","","RastergraphicsdocumentforAffinityPhoto.CanalsobeopenedbyAffinityDesigner.",""
"AI","AdobeIllustratorDocument","AdobeSystems","",".ai","application/illustrator,application/postscript","AdobeIllustratorfilesareeditableusingprogramsthatsupporttheformat,suchasAdobeIllustrator,Inkscape,CorelDRAW,etc.","Yes"
"AliasPiximage","","","",".pix,.matte,.mask,.alpha,.als","","SupportedbyGIMP",""
"AMI","","","",".ami","","SupportedbyAmicaPaint",""
"ANI","ANIfileformat","Microsoft","RIFF",".ani","","UsedbyMicrosoftWindows",""
"ANIM","","ElectronicArtsandCommodoreAmiga","IFF",".iff,.anim","video/x-anim","",""
"APNG","AnimatedPortableNetworkGraphics","Mozilla","PNG",".png","image/png","Gecko1.9andOpera","No"
"AppleIconImage","","AppleInc.","",".icns","","UsedbymacOS",""
"APX","","","",".apx","","SupportedbyEbuyerPhotoPaint",""
"ART","","AOL","",".art","","",""
"ART","PFS:1stPublisherclipart","","",".art","","",""
"ARTB","Artboardfileformat","Mapdiva,LLC","",".artb","","Vectorimageformat;Artboarddrawingfilesareeditableusingprogramsthatsupporttheformat,suchasArtboardandOrtelius",""
"ASCIIart","","","",".txt,.ansi,.text","text/vnd.ascii-art","SupportedbyGIMP",""
"Authorwaremap","","AdobeSystems","",".aam","application/x-authorware-map","",""
"Authorwareseg","","AdobeSystems","",".aas","application/x-authorware-seg","",""
"Authorwarebin","","AdobeSystems","",".aab,.x32,.u32,.vox","application/x-authorware-bin","",""
