"","HTMLcatalog","Metatagging","RSSfeeds","SEOURLs","Sitemap,XML","GoodRelationsRDFa"
"ApacheOFBiz","Yes","Yes","No","Yes","Yes","No"
"Batavi","Yes","Yes","No","Yes","No","No"
"BigCommerce","Yes","Yes","Yes","Yes","Yes","No"
"DrupalCommerce","Yes","Yes","Yes","Yes","Yes","Yes"
"KonaKart","Yes","Yes","Yes","Yes","No","No"
"Magento","Yes","Yes","Yes","Yes","Yes","No"
"nopCommerce","Yes","Yes","Yes","Yes","Yes","No"
"osCommerce","No","No","add-on","Yes","add-on","Yes"
"pimcore","Yes","Yes","Yes","Yes","Yes","Yes"
"PrestaShop","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify","Yes","Yes","Yes","Yes","Yes","No"
"SupaDupa","Yes","Yes","No","Yes","Yes","No"
"WooCommerce","Yes","Yes","Yes","Yes","Yes","Yes"
"ZenCart","add-on","Yes","add-on","add-on","add-on","No"
"","HTMLcatalog","Metatagging","RSSfeeds","SEOURLs","Sitemap,XML","GoodRelationsRDFa"
