"Name","Creator","Firstpublicrelease","Lateststableversion","Latestreleasedate","Cost,availability","License"
"EclipseOpenJ9(formerlyIBMJ9)","IBM","?","0.25.0","16March2021","Free","ApacheLicense2.0EclipsePublicLicense2.0"
"GCJ","GNU","6September1998","6.4(Terminal)","4July2017","Free","GPLversion2orlater,withthe""libgccexception"""
"GraalVM","Oracle","May2019","21.3.0","19October2021","Free","GPLversion2only"
"HotSpot,OpenJDKedition","SunMicrosystems,Oracle","27April1999","jdk-16","16March2021","Free","GPLversion2only"
"HotSpot,OracleJDKedition","SunMicrosystems,Oracle","27April1999","jdk16","16March2021","Free","Proprietary"
"HotSpot,JavaSEembeddededition","SunMicrosystems,Oracle","27April1999","?","?","Commercial","Proprietary"
"HotSpot,Zeroport","GaryBenson","?","?","?","Free","GPLversion2only"
"IKVM.NET","JeroenFrijters","28June2004","7.0.4335.0","5December2011","Free","zlibLicense"
"JAmiga","PeterWerno,JoakimNordström","19May2005","1.2","6January2014","Free","GPLversion2orlater"
"JamVM","RobertLougher","13March2003","2.0.0","30July2014","Free","GPLversion2orlater"
"JatoVM","PekkaEnbergandcontributors","?","0.3","4January2012","Free","GPLversion2only"
"JCvirtualmachine","ArchieL.Cobbs","?","1.4.7","13November2005","Free","LGPLversion2.1orlater"
"JikesRVM","IBM","14October2001","3.1.4","18February2016","Free","EclipsePublicLicenseversion1.0"
"Kaffe","TransvirtualTechnologies","1996","1.1.9","22February2008","Free","GPLversion2orlater"
"MysaifuJVM","?","16April2005","0.4.8","5March2010","Free","GPLversion2only"
"SableVM","SableResearchGroup","?","1.13","30March2007","Free","LGPLversion2.1orlater"
