"Name","Textual/graphical","Object-oriented","Typesystem"
"Bidule","Graphical","No",""
"ChucK","Textual","Yes","Static"
"Csound","Textual/Graphical(FLTK/Qt/HTML5)","No","Indevelopment"
"Impromptu","Mostlytextual","-","Dynamic&static"
"Kyma","MostlyGraphical","Yes","Dynamic"
"Max/MSP","Graphical","No",""
"PureData","Graphical","No",""
"Reaktor","Graphical","No",""
"SuperCollider","Textual/Graphical(Cocoa/Swing/Qt)","Yes","Dynamic"
"SynthEdit","Graphical","Yes","Static"
"MPEG-4/SA","Textual","No","No"
