"Name","GUI","CLI","Scripting","Horizontal/vertical","Syntaxhighlighting","Reports"
"BeyondCompare","Yes","Yes","Yes","Both","Yes","XML,HTML,CSV,Text,UnixPatch"
"Compare++","Yes","Yes","","Both","Yes","HTML,Text(combinedorside-by-side)"
"diff","No","Yes","","Horizontal","Yespipetodiff-highlight",""
"diff3","No","Yes","","Horizontal","",""
"Eclipse(compare)","Yes","","","Vertical","Yes",""
"Ediff","Yes","Yes","elisp","Both","Yes",""
"ExamDiffPro","Yes","Yes","","optional","Yes","UNIX,HTML,Diff"
"FarManager(compare)","Yes","Yes","Yes","","Yes","No"
"fc","No","Yes","","Horizontal","",""
"FileMerge(akaopendiff)","Yes","Yes","","Vertical","Yes","No"
"GuiffySureMerge","Yes","Yes","JavaAPI","Both","Yes","HTML,Text,UnixPatch"
"IntelliJIDEA(compare)","Yes","Yes","","Vertical","Yes",""
"jEditJDiffplugin","Yes","","","Both","Yes",""
"LazarusDiff","Yes","","","","Yes",""
"Meld","Yes","No","","","Yes","No"
"Notepad++(compare)","Yes","Yes","","Both","Yes","No"
"PerforceP4Merge","Yes","Yes","","Vertical","Yes","No"
"PrettyDiff","Yes","Yes","JavaScript","Both","Yes","XHTML"
"Tkdiff","Yes","","","","",""
"TotalCommander(compare)","Yes","","","Both","No","No"
"vimdiff","Yes","Yes","vimscript","Both","Yes","HTML"
"WinDiff","Yes","Yes","","Horizontal","No","Text"
"WinMerge","Yes","Yes","","Both","Yes","CSV,Tab-delimited,HTML,XML"
"UCC","Yes","Yes","","Vertical","Yes","Text,CSV"
"Name","GUI","CLI","Scripting","Horizontal/vertical","Syntaxhighlighting","Reports"
