"DVR","MPEG-1","MPEG-2","MPEG-4ASP(MPEG-4Part2),i.e.DivX,XviD","H.264/MPEG-4AVC(MPEG-4Part10)","HEVC(H.265)","VP8","VP9","WMV","AVI","ASF","QuickTime","MP4","RealVideo","MKV"
"BeyondTV","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Unknown","No","No","No","Unknown"
"EyeTV","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"
"WinTV","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown"
"NextPVR","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown"
"Kodi(formerlyXBMC)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MediaPortal","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","Yes"
"MediaPhoenix/ShowShifter","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"MythTV","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SageTV","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Yes"
"ArcsoftTotalMediaTheatre","Yes","Yes","Yes","Yes","Unknown","No","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"WindowsMediaCenter","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","Unknown"
"VBox@TV","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
