"Family","Country","Manufac.","Payload(kg)","Payload(kg)","Launchesreaching...","Launchesreaching...","Dateofflight","Launchesreaching...","Payload(kg)","Cost(US$,millions)","Launchesreaching...","Status","Dateofflight","Notes","Refs"
"Family","Country","Manufac.","LEO","Cost(US$,millions)","GTO","Status","TLI","Notes","Refs","Total","Space","Anyorbit","Targetorbit","First","Last"
"Agnibaan","IND","AgnikulCosmos","100","--","--","--","","","","","Devel.","2022","","Expectedlaunchin2022",""
"Alpha","USAUKR","FireflyAerospace","1,000","N/A","N/A","--","1","0","0","0","Active","2021","","",""
"Angara1.2","RUS","Khrunichev","3,800","--","--","25","0","","","","Active","2014","","AsofMay2020,onlylaunchwasasuborbitaltestin2014.",""
"AngaraA5","RUS","Khrunichev","14,600–35,000","3,600–12,500","--","--","3","3","3","2","Active","2014","","",""
"Antares","USA","OrbitalATK","8,000","--","--","80","16","15","15","15","Active","2013","","Cygnuslauncher.Var.:110,120,130,230,230+",""
"Ariane1-2-3","EU","Aérospatiale","N/A","2,650","N/A","--","28","","","","Retired","1979","1989","",""
"Ariane4","EU","Aérospatiale","7,000","4,720","N/A","--","116","","","","Retired","1988","2003","Var.:40,42P,42L,44P,44L,44LP",""
"Ariane5","EU","Airbus","21,000","10,735","N/A","165–220","112","110","110","107","Active","1996","","Var.:G,G+,GS,ECA,ES.",""
"Ariane6","EU","AirbusSafran","21,650(A64var.)","11,500+(A64var.)","8,500(A64var.)","115","0","","","","Devel.","2022","","Var.:Ariane62,Ariane64.",""
"ASLV","IND","ISRO","150","--","--","--","4","","","","Retired","1987","1994","",""
"AstraRocket","USA","Astra","50-150(toSSO)","N/A","N/A","--","6","3","2","2","Active","2020","","2suborbitaltestlaunchesin2018.",""
"AthenaI&II","USA","LockheedATK","2,065","--","295","--","7","","","","Retired","1995","2001","LaunchLunarProspector.",""
"AtlasI(AtlasA-B-C-D-E-F-G)","USA","Lockheed","5,900","2,340","--","--","514","","","","Retired","1957","1997","LaunchMercury.AtlasorCentaurupperstage.",""
"AtlasII","USA","Lockheed","8,618","3,833","--","--","63","63","63","","Retired","1991","2004","",""
"AtlasIII","USA","Lockheed","10,759","4,609","--","--","6","6","6","","Retired","2003","2005","Var.:IIIA,IIIB",""
"AtlasV","USA","ULA","18,850","8,900","2,807","109–153","92","92","92","92","Active","2002","","LaunchedJuno&NewHorizons",""
