"Implementation","Blockcipherwithmodeofoperation","Streamcipher","Blockcipherwithmodeofoperation","Blockcipherwithmodeofoperation","Blockcipherwithmodeofoperation","Streamcipher"
"Implementation","IDEACBC(insecure)","DESCBC(insecure)","DES-40CBC(EXPORT,insecure)","RC2-40CBC(EXPORT,insecure)","RC4-128(insecure)","RC4-40(EXPORT,insecure)"
"Botan","No","No","No","No","No","No"
"BoringSSL","No","No","No","No","Disabledbydefaultatcompiletime","No"
"BSAFESSL-J","No","Disabledbydefault","Disabledbydefault","No","Disabledbydefault","Disabledbydefault"
"cryptlib","No","Disabledbydefaultatcompiletime","No","No","Disabledbydefaultatcompiletime","No"
"GnuTLS","No","No","No","No","Disabledbydefault","No"
"JSSE","No","Disabledbydefault","Disabledbydefault","No","Disabledbydefault","Disabledbydefault"
"LibreSSL","Yes","Yes","No","No","Yes","No"
"MatrixSSL","Yes","No","No","No","Disabledbydefault","No"
"MbedTLS","No","Disabledbydefaultatcompiletime","No","No","Disabledbydefaultatcompiletime","No"
"NSS","Yes","Disabledbydefault","Disabledbydefault","Disabledbydefault","Lowestpriority","Disabledbydefault"
"OpenSSL","Disabledbydefault","Disabledbydefault","No","No","Disabledbydefault","No"
"SChannelXP/2003","No","Yes","Yes","Yes","Yes","Yes"
"SChannelVista/2008","No","Disabledbydefault","Disabledbydefault","Disabledbydefault","Yes","Disabledbydefault"
"SChannel7/2008R2","No","Disabledbydefault","Disabledbydefault","Disabledbydefault","Lowestprioritywillbedisabledsoon","Disabledbydefault"
"SChannel8/2012","No","Disabledbydefault","Disabledbydefault","Disabledbydefault","Onlyasfallback","Disabledbydefault"
"SChannel8.1/2012R2","No","Disabledbydefault","Disabledbydefault","Disabledbydefault","Disabledbydefault","Disabledbydefault"
"Schannel10","No","Disabledbydefault","Disabledbydefault","Disabledbydefault","Disabledbydefault","Disabledbydefault"
"SecureTransportOSX10.6","Yes","Yes","Yes","Yes","Yes","Yes"
"SecureTransportOSX10.7","Yes","Unknown","Unknown","Unknown","Yes","Unknown"
"SecureTransportOSX10.8-10.9","Yes","Disabledbydefault","Disabledbydefault","Disabledbydefault","Yes","Disabledbydefault"
"SecureTransportOSX10.10-10.11","Yes","Disabledbydefault","Disabledbydefault","Disabledbydefault","Lowestpriority","Disabledbydefault"
"SecureTransportmacOS10.12","Yes","Disabledbydefault","Disabledbydefault","Disabledbydefault","Disabledbydefault","Disabledbydefault"
"wolfSSL","Disabledbydefault","No","No","No","Disabledbydefault","No"
"Erlang/OTPSSLapplication","no","Disabledbydefault","no","no","Disabledbydefault","no"
"Implementation","Blockcipherwithmodeofoperation","Streamcipher","Blockcipherwithmodeofoperation","Blockcipherwithmodeofoperation","Blockcipherwithmodeofoperation","Streamcipher"
"Implementation","IDEACBC(insecure)","DESCBC(insecure)","DES-40CBC(EXPORT,insecure)","RC2-40CBC(EXPORT,insecure)","RC4-128(insecure)","RC4-40(EXPORT,insecure)"
