"Feature","Android","iOS","Tizen","SailfishOS","UbuntuTouch"
"Non-Englishlanguagessupport","Partial","Yes","Limited(Searchisnotdiacriticalmark-insensitive)","Yes","Yes"
"Underliningspellchecker","2.3+","Yes","No","?","No"
"Built-insystem-widedictionary","Builtintokeyboardapp.Availableoneverydevice.","5+","No","Yes","Yes"
"Autoexpandingtextreplacements","Yes","5+","?","?","?"
"Keyboardnextwordprediction","No,3rdpartysoftware","8+","No","Yes","Yes"
"Keyboardcursorcontroller","GoogleKeyboard;","12+;9-11:Onlyondeviceswith3DTouch;","No","No","Yes"
"Opticalcharacterrecognitioninputmethod","No","15+;11+:Notesapp;8+:Onlyforinputtingcreditcarddetails","No","No","No"
"Thirdpartyinputmethods","Yes","8+","?","?","?"
"Gesturetextinput","4+","13+;8+:3rdpartysoftwarelikeSwiftKey","?","No","No"
"Emojisupport","4.4+","Yes","?","2.2.0+3rdpartysoftware","Yes"
