"English","Danish","Norwegian(Bokmål)","Swedish"
"afraid","bange,(arch.,dial.:)ræd","redd,butalsobange(archaic,mostlyusedinstandardexpressionslike""bangeanelser"")","rädd,skrämd"
"afterwards","bagefter,derefter","etterpå,efterpå(conservative),deretter/derefter","efteråt,därefter"
"angry","vred","sint,vred(literary)","arg,ilsk,ilsken,vred,förbannad"
"autumn","efterår,(poet.:)høst","høst,etterår/efterår(archaic)","höst"
"becorrect,holdtrue","passe,stemme","stemme","stämma"
"boy","dreng,(colloquial:)gut","gutt,dreng(archaicorusedinamorenarrowsense)","pojke,dräng(archaicorusedinamorenarrowsense)"
"black","sort","svart,sort","svart"
"breakfast","morgenmad","frokost","frukost,morgonmål(dated)"
"breathe","ånde","puste,ånde","andas"
"cinema","biograf,kino(old-fashioned)","kino,biograf(oldercinemas)","bio,biograf"
"cold","kold","kald,kold","kall,kylig,sval"
"tocomb(verb)","rede","gre(ie),kjemme","kamma"
"decade","årti,tiår,dekade","tiår,årti,dekade","årtionde"
"difficult","svær,vanskelig","vanskelig","svår,vansklig,besvärlig"
"dinner","middag,aftensmad","middag","middag,supé(latedinner),kvällsmål(dated)"
"easy","nem,let","lett,enkel","lätt,enkel,simpel"
"evening","aften,(poet.:)kvæld","kveld,aften","kväll,afton"
"fact","kendsgerning,faktum","faktum,kjennsgjerning","faktum"
"fast,quick(ly)","hurtig,rask","fort(adv),rask(adj),hurtig","snabb(adj),snabbt(adv),fort(adv)"
"forward","frem(over)","frem(over),fram(over)","framåt"
"floor(storey)","etage,sal","etasje","våning,etage(rare)"
"frog","frø","frosk","groda"
"fun","sjov","moro,gøy","skoj,rolig,kul,lustig,komisk,festlig"
"future","fremtid","fremtid,framtid","framtid"
"hesitate","tøve,nøle","nøle","tveka"
"girl","pige","jente,pike","flicka,tjej,jänta,piga(archaicorusedinamorenarrowsense)"
"good","god(t)","bra,god(t)","bra,god"
"healthy","rask,sund,frisk","frisk,sunn","frisk,sund"
"hydrogen","brint,hydrogen","hydrogen,vannstoff(archaic)","väte"
"...,isn'tit?/didn'the?etc.","...,ikke/vel?ikkesandt?,ikkeogså?","...,ikkesant?","...,ellerhur?,intesant?"
"jealous","jaloux,skinsyg,misundelig","sjalu,misunnelig","avundsjuk,svartsjuk,missunnsam"
"lastyear","sidsteår,ifjor","ifjor","förraåret,ifjol"
"like(vb.enjoy)","kunnelide","like","tyckaom,gilla,uppskatta"
"lunch","frokost","lunsj(alt.lønsjorlunch),formiddagsmat","lunch,frukost(dated),middag(dated)"
"maybe","måske,muligvis,kanske(old-fashioned)","kanskje,muligvis,måskje(archaic)","kanske,möjligtvis,möjligen"
"moustache","overskæg","bart,overskjegg","mustasch"
"oxygen","ilt,oxygen","oksygen,surstoff","syre,oxygen(onlyinchemistry)"
"potato","kartoffel","potet,kartoffel(outdated)","potatis"
"rubbish(nonsense)","sludder,vrøvl,vås,nonsens","sludder,vrøvl,nonsens,tull,tøys,vås","strunt,trams,nonsens,sladder"
"satisfied/pleased","tilfreds,fornøjet","fornøyd,tilfreds","nöjd,tillfreds"
"sheep","får","sau,smale(archaic/dialectal),får(archaic/dialectal,usedinexpressions/fixedphrases)","får,lamm"
"short(person)","lille,lav","kort,lav","kort,kortväxt,liten"
"sometimes","sommetider,iblandt,(colloquial:)noglegange,afogtil,indimellem,","iblant,avogtil,innimellom","ibland,avochtill,dåochdå,emellanåt"
"spring(time)","forår,(poet.:)vår","vår,forår(archaic)","vår"
"still(yet)","stadigvæk,fremdeles(archaic),fortsat","fremdeles,fortsatt","fortfarande,ännu"
"team","hold","lag","lag,team"
"there,thither(aboutdirection)","derhen","derhen,derhen(riksmål),dit,dithen","dit,ditåt"
"toad","tudse","padde","padda"
"ugly","grim,(ethically:)styg","stygg,grim","ful,otäck"
"usual","sædvanlig,vanlig(archaic)","vanlig,sedvanlig","vanlig,sedvanlig"
"[earth]worm","orm","[meite]makk,[mete]mark,orm(Ambiguous,couldmeanbothwormandsnake,cf.wyrm.)","mask"
"wrong","forkert,gal(t)","gal(t),feil","fel,galet"
