"","read-write","read-only","write-only"
"ABAPObjects","N/A","N/A","N/A"
"APL(Dyalog)",":PropertyBar?result?Getinstructions??Setargumentsinstructions?:EndPropertyBar",":PropertyBar?result?Getinstructions?:EndPropertyBar",":PropertyBar?Setargumentsinstructions?:EndPropertyBar"
"C++(STL)","N/A","N/A","N/A"
"C#","typeBar{get{instructions...returnvalue;}set{instructions}}","typeBar{get{instructions...returnvalue;}}","typeBar{set{instructions}}"
"D","@propertytypebar(){instructions...returnvalue;}@propertytypebar(typevalue){instructions...returnvalue;}","@propertytypebar(){instructions...returnvalue;}","@propertytypebar(typevalue){instructions...returnvalue;}"
"eC","propertytypeBar{get{instructions...returnvalue;}set{instructions}}","propertytypeBar{get{instructions...returnvalue;}}","propertytypeBar{set{instructions}}"
"Java","N/A","N/A","N/A"
"Objective-C2.0(Cocoa)","@property(readwrite)typebar;andtheninside@implementation-(type)bar{instructions}-(void)setBar:(type)value{instructions}","@property(readonly)typebar;andtheninside@implementation-(type)bar{instructions}","N/A"
"Swift","varbar:type{get{instructions}set«(newBar)»{instructions}}","varbar:type{instructions}","N/A"
"Eiffel","feature--Accessx:TYPEassignset_xfeature--Settingsset_x(a_x:likex)doinstructionsensurex_set:verificationend","",""
"Python","defsetBar(self,value):Tab?instructionsdefgetBar(self):Tab?instructionsTab?returnvaluebar=property(getBar,setBar)","defgetBar(self):Tab?instructionsTab?returnvaluebar=property(getBar)","defsetBar(self,value):Tab?instructionsbar=property(fset=setBar)"
"VisualBasic.NET","PropertyBar()AstypeGetinstructionsReturnvalueEndGetSet(ByValValueAstype)instructionsEndSetEndProperty","ReadOnlyPropertyBar()AstypeGetinstructionsReturnvalueEndGetEndProperty","WriteOnlyPropertyBar()AstypeSet(ByValValueAstype)instructionsEndSetEndProperty"
"Xojo","ComputedPropertyBar()AstypeGetinstructionsReturnvalueEndGetSet(ByValValueAstype)instructionsEndSetEndComputedProperty","ComputedPropertyBar()AstypeGetinstructionsReturnvalueEndGetEndComputedProperty","ComputedPropertyBar()AstypeSet(valueAstype)instructionsEndSetEndComputedProperty"
"PHP","function__get($property){switch($property){case'Bar':instructions...returnvalue;}}function__set($property,$value){switch($property){case'Bar':instructions}}","function__get($property){switch($property){case'Bar':instructions...returnvalue;}}","function__set($property,$value){switch($property){case'Bar':instructions}}"
"Perl","subBar{my$self=shift;if(my$Bar=shift){#setter$self->{Bar}=$Bar;return$self;}else{#getterreturn$self->{Bar};}}","subBar{my$self=shift;if(my$Bar=shift){#read-onlydie""Barisread-only\n"";}else{#getterreturn$self->{Bar};}}","subBar{my$self=shift;if(my$Bar=shift){#setter$self->{Bar}=$Bar;return$self;}else{#write-onlydie""Bariswrite-only\n"";}}"
"Raku","N/A","N/A","N/A"
"Ruby","defbarinstructionsexpressionresultinginreturnvalueenddefbar=(value)instructionsend","defbarinstructionsexpressionresultinginreturnvalueend","defbar=(value)instructionsend"
"WindowsPowerShell","Add-Member«-MemberType»ScriptProperty«-Name»Bar«-Value»{instructions...returnvalue}«-SecondValue»{instructions}-InputObjectvariable","Add-Member«-MemberType»ScriptProperty«-Name»Bar«-Value»{instructions...returnvalue}-InputObjectvariable","Add-Member«-MemberType»ScriptProperty«-Name»Bar-SecondValue{instructions}-InputObjectvariable"
"OCaml","N/A","N/A","N/A"
"F#","memberthis.Barwithget()=expressionandset(value)=expression","memberthis.Bar=expression","memberthis.Barwithset(value)=expression"
"JavaScript(ES6)","getbar(«parameters»){instructions...returnvalue}setbar(«parameters»){instructions}","getbar(«parameters»){instructions...returnvalue}","setbar(«parameters»){instructions}"
"COBOL","METHOD-ID.GETPROPERTYbar.DATADIVISION.LINKAGESECTION.return-vardeclarationPROCEDUREDIVISIONRETURNINGreturn-var.instructionsENDMETHOD.METHOD-ID.SETPROPERTYbar.DATADIVISION.LINKAGESECTION.value-vardeclarationPROCEDUREDIVISIONUSINGvalue-var.instructionsENDMETHOD.","METHOD-ID.GETPROPERTYbar.DATADIVISION.LINKAGESECTION.return-vardeclarationPROCEDUREDIVISIONRETURNINGreturn-var.instructionsENDMETHOD.","METHOD-ID.SETPROPERTYbar.DATADIVISION.LINKAGESECTION.value-vardeclarationPROCEDUREDIVISIONUSINGvalue-var.instructionsENDMETHOD."
"Cobra","probar«astype»Tab?getTab?Tab?instructionsTab?Tab?returnvalueTab?setTab?Tab?instructions","getbar«astype»Tab?instructionsTab?returnvalue","setbar«astype»Tab?instructions"
"ISLISP","N/A","N/A","N/A"
