"System","OfficeIntegration","MultiLingual","LanguagesSupported","Web-Based","TimeTracking","AttachingEmailstoBusinessObjects","DesktopEnvironment","GlobalSearch","LDAPSupport"
"Act!CRM","Yes","Yes","en,de,fr","Yes","","","Yes","Yes","No"
"Adempiere","?","?","?","?","?","?","?","?","?"
"BaseCRM","Yes","Yes","de,en,es,fr,nl,pl,pt","Yes","Yes","Yes","No","Yes","No"
"Capsule(CRM)","GmailGSuite","No","en","Yes","No","Yes","Yes","Yes","?"
"CiviCRM","?","Yes","YesOver40","YesIntegratedwithDrupal,Wordpress,Joomla!orBackdrop","?","Yes(whenemailissentfromsoftware)","?","Yes","?"
"Dolibarr","Amodulegoogleisavailableforcustomerandagendasync","Yes","Over30","Yes","Yes","Yes(whenemailissentfromsoftware)","?","Yes","Yes"
"MicrosoftDynamicsCRM","Yes","Yes","Yesover40","Yes","Yes","Yes","No","Yes","YeswithADFS"
"EpesiCRM","Anytypeoffileattachments","Yes","ar,bg,cs,da,de,el,en,es,et,fa,fi,fr,he,hr,hu,id,in,it,jp,ko,lt,nl,no,pl,pt,ro,ru,sk,sl,sr,sv,th,tr,vi,zh","Yes","Yes","Yes","?","?","?"
"GNUEnterprise","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Group-Office","Yes","Yes","Over20languages","Yes","Yes","?","?","?","?"
"HubSpotCRMFree","Gmail,GSuite,Outlook,Office365forWindows","Yes","en,fr,jp,de,pt,es","Yes","No","Yes","Yes","Yes","No"
"Neolane","?","?","?","?","?","?","?","?","?"
"NutshellCRM","GoogleApps,MicrosoftExchange","No","(inEnglish)","Yes","No","Yes","?","Yes","?"
"OnlyOffice","Yes","Yes","en,de,fr,es,it,ru,lat","Yes","Yes","?","?","?","?"
"OracleAdvertisingandCustomerExperience(CX)","Yes","Yes","26languages","Yes","No","Yes","Yes","Yes","Yes"
"PegaCRM","?","?","?","?","?","?","?","Maybe","Yes"
"Pipedrive","Yes","Yes","de,en,es,et,fi,fr,it,no,nl,pl,pt,ru,tr,ko,ja","Yes","Yes","Yes","Yes","Yes","Yes"
"PivotalCRM","Yes","Yes","Yes","Web/Windows","?","Yes","?","Yes","Yes"
"ReallySimpleSystems","Yes","No","en","Yes","No","?","?","?","?"
"SageCRM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"SalesboxCRM","Yes","Yes","de,en,es,fr,nl,pt,se,no,fi,tr,ro,ru,jp,ch,ko,hu","Yes","Yes","Yes","Yes","Yes","No"
"Salesforce.com","Yes","Yes","en,fi,fr,de,es,it,ja,ko,pt-br,ru,sv,th,zh-cn,zh-tw,da,nl-nl","Yes","No","No","No","Yes","No"
"Siebel","Yes","Yes","Yes","Yes","No","Yes","?","?","Yes"
"SAPCRM","Yes","Yes","Yes","Yes","No","Yes","Yes|","Yes","Yes"
"SnapforceCRM","Yes","Yes","de,en,es,et,fi,fr,it,nl,pl,pt,tr,ko,ja,ru","Yes","No","Yes","?","Yes","Yes"
"Streak","viaGoogleDocs","Yes","de,en,es,fr,it,nl,pl,pt,pt-br,ru,zh-cn","Yes","No","?","?","?","?"
"SugarCRM","Yes-Outlook,Excel,WordPlugins","Yes","sq_AL,ar_SA,bg_BG,ca_ES,zh_CN,hr_HR,cs_CZ,da_DK,nl_NL,en_UK,en_us,et_EE,fi_FI,fr_FR,de_DE,el_EL,he_IL,hu_HU,it_it,ja_JP,ko_KR,lv_LV,lt_LT,nb_NO,pl_PL,pt_PT,pt_BR,ro_RO,ru_RU,sr_RS,sk_SK,es_ES,es_LA,sv_SE,th_TH,zh_TW,tr_TR,uk_UA","Yes","Yes","Yes","?","Yes","Yes"
"SuiteCRM","ViaPlugin","Yes","20languages","Yes","Yes","Yes","No","Yes","Yes"
"SuperOfficeCRM","Yes","Yes","cn,de,dk,en,es,fi,fr,it,jp,nl,no,ru,se,zh","Yes","Yes","?","?","?","?"
"Tryton","?","Yes","bg,ca,cs,de,en,es-ar,es-co,es-es,fr,nl,ru,sl","Yes","Yes","Yes","Yes","Yes","Yes"
"WORKetc","OutlookAddonandGoogleDocs","Yes","de,en,es,fr,it,nl","Yes","Yes","Yes","?","Yes","?"
"ZohoCRM","Outlook&MSOffice","Yes","en,fi,fr,de,es,it,ja,ko,pt-br,ru,sv,th,zh-cn,zh-tw,da,nl-nl,pl","Yes","Yes","Yes","?","Yes","Yes"
