"Name","Creator","PrimaryPurpose(s)","Firstreleasedate","Mostrecentupdate","Mostrecentversion","Cost","License","Mainuserinterfacetype","Developmentstatus"
"Bidule","Plogue","Realtimesynthesis,livecoding,algorithmiccomposition,acousticresearch,all-purposeprogramminglanguage","2002","2017-06","0.9757","Non-free","Proprietary","Graphical","Mature"
"ChucK","GeWangandPerryCook","Realtimesynthesis,livecoding,pedagogy,acousticresearch,algorithmiccomposition","2004","2018-02-09","v1.4.0.0","Free","GPL","Document","Immature"
"Csound","BarryVercoe","Realtimeperformance,soundsynthesis,algorithmiccomposition,acousticresearch","1986","2020-01-27","v6.14.0","Free","LGPL","Document,graphical","Mature"
"Impromptu","AndrewSorensen","Livecoding,algorithmiccomposition,hardwarecontrol,realtimesynthesis,2d/3dgraphicsprogramming","2006","2010-10","v2.5","Free","Proprietary","Document","Stable"
"Keykit","TimThompson","MIDIsynthesisandalgorithmiccomposition","1995","2021-03-15","v7.7e","Free","GPL","Graphical","Mature"
"Kyma","CarlaScaletti","Realtimeaudiosynthesis,hardwarecontrol,acousticresearch,algorithmiccomposition,datasonification,live-performancemulti-effectsprocessing","1986","2018-9-03","v7.23","Non-free","Proprietary","Graphical","Mature"
"Max/MSP","MillerPuckette","Realtimeaudio+videosynthesis,hardwarecontrol,GUIdesign","1980s(mid)","2019-09-24","v8.1.0","Non-free","Proprietary","Graphical","Mature"
"PureData","MillerPuckette","Realtimesynthesis,hardwarecontrol,acousticresearch","1990s","2020-08-16","v0.51-1","Free","BSD-like","Graphical","Mature"
"Reaktor","NativeInstruments","Realtimesynthesis,hardwarecontrol,GUIdesign","1996","2017-08-16","6.2","Non-free","Proprietary","Graphical","Mature"
"SuperCollider","JamesMcCartney","Realtimesynthesis,livecoding,algorithmiccomposition,acousticresearch,all-purposeprogramminglanguage","1996-03","2020-03-10","v3.11.0","Free","GPL","Document","Mature"
"Sporth","PaulBatchelor","Sounddesign,algorithmiccomposition,livecoding,embeddedsystems","2015","2016-05","-","Free","MIT","Document","Immature"
"SynthEdit","JeffMcClintock","Realtimesynthesis,livecoding,effectscoding,GUIdesign","1999","2021","1.4","Non-free","Proprietary/BSD","Graphical","Mature"
"VCVRack","AndrewBelt","Realtimeaudiosynthesis","2017-09","2022-01-15","2.0.6","Free","BSD-like","Graphical","Immature"
