"Name","Name","Releasedate","Version","RTMbuild","Latestbuild","Statussupport","Codename,workingname","Supportedarchitectures","Editions","OStype"
"WindowsNT3.1","WindowsNT3.1","1993-07-27","3.1","528","528(SP3)(1994-11-10)","Unsupported(2000-12-31)","NewTechnologyOS/2","IA-32,DECAlpha,MIPS","Workstation,AdvancedServer","Workstation,Server"
"WindowsNT3.5","WindowsNT3.5","1994-09-21","3.5","807","807(SP3)(1995-06-21)","Unsupported(2001-12-31)","Daytona","IA-32,DECAlpha,MIPS,PowerPC","Workstation,Server","Workstation,Server"
"WindowsNT3.51","WindowsNT3.51","1995-05-30","3.51","1057","1057(SP5)(1996-09-19)","Unsupported(2001-12-31)","N/A","IA-32,DECAlpha,MIPS,PowerPC","Workstation,Server","Workstation,Server"
"WindowsNT4.0","WindowsNT4.0","1996-07-31","4.0","1381","1381(SP6a)(1999-11-30)","Unsupported(2004-06-30)","Cairo/ShellUpdateReleaseHydra(TerminalServer)Impala(Embedded)","IA-32,DECAlpha,MIPS,PowerPC","Workstation,Server,ServerEnterpriseEdition,TerminalServer,Embedded","Workstation,Server,EmbeddedPCs"
"Windows2000","Windows2000","1999-12-15","5.0","2195","SP4Rollup1v2(2005-09-13)","Unsupported(2010-07-13)","N/AWindows200064-bit:Janus","IA-32","Professional,Server,AdvancedServer,DatacenterServer,Powered(Embedded)","Desktop,Workstation,Server,EmbeddedPCs"
"WindowsXP","WindowsXP","2001-08-24","5.1","2600","2600(SP3)(2008-04-21)","Unsupported(2014-04-08)","Whistler","IA-32,IA-64,x86-64","Home,Professional,MediaCenter,TabletPC,Starter,Embedded","Desktop,Workstation,EmbeddedPCs"
"WindowsServer2003","WindowsServer2003","2003-04-24","5.2","3790","3790(SP2)(2007-03-13)","Unsupported(2015-07-14)","WhistlerServer,Windows.NETServer","IA-32,IA-64,x86-64","Standard,Enterprise,Datacenter,Web,Storage,SmallBusinessServer,ComputeCluster","Server,NetworkAppliance,EmbeddedPCs,HPC"
"WindowsServer2003R2","WindowsServer2003R2","2005","5.2","3790","?","Unsupported(2015-07-14)","?","IA-32,x86-64","","Server,NetworkAppliance,EmbeddedPCs,HPC"
"WindowsFundamentalsforLegacyPCs","WindowsFundamentalsforLegacyPCs","2006-07-08","5.1","2600","N/A","Unsupported(2014-04-08)","Eiger,Mönch","IA-32","FundamentalsforLegacyPCs","Desktop"
"WindowsVista","WindowsVista","2006-11-30","6.0","6000","6002(SP2)(2009-04-28)","Unsupported(2017-04-11)","Longhorn","IA-32,x86-64","Starter,HomeBasic,HomePremium,Business,Enterprise,Ultimate","Desktop,Workstation"
"WindowsHomeServer","WindowsHomeServer","2007-11-04","5.2","3790","N/A","Unsupported(2013-01-08)","Q,Quattro","IA-32,x86-64","HomeServer","Server"
