"Language","GoogleTranslate","MicrosoftTranslator","YandexTranslate","AmazonTranslate","IBMWatson"
"Afrikaans","Yes","Yes","Yes","Yes","No"
"Albanian","Yes","Yes","Yes","Yes","No"
"Amharic","Yes","Yes","Yes","Yes","No"
"Arabic","Yes","Yes","Yes","Yes","Yes"
"Armenian","Yes","Yes","Yes","Yes","No"
"Assamese","No","Yes","No","No","No"
"Azerbaijani","Yes","Yes","Yes","Yes","No"
"Bashkir","No","Yes","Yes","No","No"
"Basque","Yes","No","Yes","No","Yes"
"Belarusian","Yes","No","Yes","No","No"
"Bengali","Yes","Yes","Yes","Yes","Yes"
"Bosnian","Yes","Yes","Yes","Yes","Yes"
"Bulgarian","Yes","Yes","Yes","Yes","Yes"
"Burmese","Yes","Yes","Yes","No","No"
"Cantonese(Traditional)","No","Yes","No","No","No"
"Catalan","Yes","Yes","Yes","Yes","Yes"
"Cebuano","Yes","No","Yes","No","No"
"Chewa(Chichewa/Nyanja)","Yes","No","No","No","No"
"Chinese(Simplified)","Yes","Yes","Yes","Yes","Yes"
"Chinese(Traditional)","Yes","Yes","No","Yes","Yes"
"Chuvash","No","No","Yes","No","No"
"ClassicalChinese","No","Yes","No","No","No"
"Corsican","Yes","No","No","No","No"
"Croatian","Yes","Yes","Yes","Yes","Yes"
"Czech","Yes","Yes","Yes","Yes","Yes"
"Danish","Yes","Yes","Yes","Yes","Yes"
"Dari","No","Yes","No","Yes","No"
"Dhivehi","No","Yes","No","No","No"
"Dutch","Yes","Yes","Yes","Yes","Yes"
"Elvish(Sindarin)","No","No","Yes","No","No"
"English","Yes","Yes","Yes","Yes","Yes"
"Esperanto","Yes","No","Yes","No","No"
"Estonian","Yes","Yes","Yes","Yes","Yes"
"Fijian","No","Yes","No","No","No"
"Finnish","Yes","Yes","Yes","Yes","Yes"
"French","Yes","Yes","Yes","Yes","Yes"
"French(Canada)","No","Yes","No","Yes","Yes"
"Galician","Yes","No","Yes","No","No"
"Georgian","Yes","Yes","Yes","Yes","No"
"German","Yes","Yes","Yes","Yes","Yes"
"Greek","Yes","Yes","Yes","Yes","Yes"
"Gujarati","Yes","Yes","Yes","Yes","Yes"
"HaitianCreole","Yes","Yes","Yes","Yes","No"
"Hausa","Yes","No","No","Yes","No"
"Hawaiian","Yes","No","No","No","No"
"Hebrew","Yes","Yes","Yes","Yes","Yes"
"HillMari","No","No","Yes","No","No"
"Hindi","Yes","Yes","Yes","Yes","Yes"
"Hmong","Yes","No","No","No","No"
"HmongDaw","No","Yes","No","No","No"
