"Implementation","TPMsupport","Hardwaretokensupport","Objectsidentifiedvia"
"Botan","Partial","PKCS11",""
"BSAFESSL-J","No","No",""
"cryptlib","No","PKCS11","User-definedlabel"
"GnuTLS","Yes","PKCS11","RFC7512PKCS#11URLs"
"JSSE","No","PKCS11JavaCryptographyArchitecture,JavaCryptographyExtension",""
"LibreSSL","Yes","PKCS11(via3rdpartymodule)","Custommethod"
"MatrixSSL","No","PKCS11",""
"MbedTLS","No","PKCS11(vialibpkcs11-helper)orstandardhooks","Custommethod"
"NSS","No","PKCS11",""
"OpenSSL","Yes","PKCS11(via3rdpartymodule)","RFC7512PKCS#11URLs"
"SChannel","No","MicrosoftCryptoAPI","UUID,User-definedlabel"
"SecureTransport","","",""
"wolfSSL","Yes","PKCS11",""
"Implementation","TPMsupport","Hardwaretokensupport","Objectsidentifiedvia"
