"","Importnamespace","Importnamespace","Importitem"
"","qualified","Importitem","unqualified"
"ABAPObjects","","",""
"C++(STL)","","usingnamespacens;","usingns::item;"
"C#","","usingns;","usingitem=ns.item;"
"D","","importns;","importns:item;"
"Java","","importns.*;","importns.item;"
"Objective-C","","",""
"VisualBasic.NET","","Importsns",""
"Eiffel","","",""
"Python","importns","fromnsimport*","fromnsimportitem"
"PHP","","usens;","usens\item;"
"Perl","usens;","","usensqw(item);"
"Raku","usens;","",""
"Ruby","","",""
"WindowsPowerShell","","",""
"OCaml","","openns",""
"F#","","openns",""
"COBOL","N/A","N/A","N/A"
