"","Text","Text","Boolean","Enumeration","Object/Universal"
"","Character","Boolean","Enumeration","Object/Universal","String"
"Ada","Character","String,Bounded_String,Unbounded_String","Boolean","(item1,item2,...)","taggednullrecord"
"ALGOL68","char","string,bytes","bool,bits","N/A-Userdefined","N/A"
"C(C99)","char,wchar_t","N/A","bool","enum«name»{item1,item2,...};","void*"
"C++(STL)","char,wchar_t","«std::»string","bool","enum«name»{item1,item2,...};","void*"
"Objective-C","unichar","NSString*","BOOL","enum«name»{item1,item2,...};","id"
"C#","char","string","bool","enumname{item1«=value»,item2«=value»,...}","object"
"Java","char","String","boolean","enumname{item1,item2,...}","Object"
"Go","byte,rune","string","bool","const(item1=iotaitem2...)","interface{}"
"Rust","char","String","bool","enumname{item1« =value»,item2« =value»,...}","std::any::Any"
"Swift","Character","String","Bool","enumname{caseitem1,item2,...}","Any"
"D","char","string","bool","enumname{item1,item2,...}","std.variant.Variant"
"CommonLisp","character","string","boolean","(memberitem1item2...)","t"
"Scheme","","","","",""
"ISLISP","","","","",""
"Pascal(ISO)","char","N/A","boolean","(item1,item2,...)","N/A"
"ObjectPascal(Delphi)","char","string","boolean","(item1,item2,...)","variant"
"VisualBasic","N/A","String","Boolean","Enumnameitem1«=value»item2«=value»...EndEnum","Variant"
"VisualBasic.NET","Char","String","Boolean","Enumnameitem1«=value»item2«=value»...EndEnum","Object"
"Xojo","N/A","String","Boolean","Enumnameitem1«=value»item2«=value»...EndEnum","ObjectorVariant"
"Python","N/A","str","bool","fromenumimportEnumclassName(Enum):item1=valueitem2=value...","object"
"JavaScript","N/A","String","Boolean","","Object"
"S-Lang","","","","",""
"Fortran","CHARACTER(LEN=*)","CHARACTER(LEN=:),allocatable","LOGICAL(KIND=n)","","CLASS(*)"
"PHP","N/A","string","bool","","(typedeclarationomitted)"
"Perl","N/A","","","","UNIVERSAL"
"Raku","Char","Str","Bool","enumname<item1item2...>enumname<<:item1(value):item2(value)..>>","Mu"
"Ruby","N/A","String","Object","","Object"
"Scala","Char","String","Boolean","objectnameextendsEnumeration{valitem1,item2,...=Value}","Any"
"Seed7","char","string","boolean","consttype:nameisnewenumitem1,item2,...endenum;",""
"WindowsPowerShell","","","","",""
"OCaml","char","string","bool","N/A","N/A"
"F#","char","string","bool","typename=item1=value|item2=value|...","obj"
"StandardML","char","string","bool","N/A","N/A"
"Haskell(GHC)","Char","String","Bool","N/A","N/A"
"Eiffel","CHARACTER","STRING","BOOLEAN","N/A","ANY"
"COBOL","PICX","PICX(stringlength)orPICX«X...»","PIC1«(numberofdigits)»orPIC1«1...»","N/A","OBJECTREFERENCE"
"Mathematica","N/A","String","","","N/A"
