"Cameramodel","Viewfinder"
"Eyemo71K","Originallyparallax,butreflexconversionsfrequentlyuseArrieyepieceaccessories."
"Arriflex35-2C","Fixedeyepieceoncameradoor;6.5xmagnifiedimage.Interchangeabledoorsforpivotingoranamorphicviewfindersavailable.Aperiscopeattachmentaccessorycanalsobeusedforoddangles,butwillslightlycroptheframeintheviewfinder."
"Arriflex35BL-1","Standardandanamorphicextensiontubes;eyepiecerotates90°aboveandbelowlevelwithcontinuousuprightimage."
"Panaflex-X","Fixedangleandincludesintegratedanamorphicswitchandcontrastviewingfilters(ND.6and.9).Short,mediumandlongeyepieces;allcanbeheatedandhavemanualiris.Mediumandlongeyepiecesincludeextramagnifierswitch."
"Arriflex35BL-2","Standardandanamorphicextensiontubes;eyepiecerotates90°aboveandbelowlevelwithcontinuousuprightimage."
"PanaflexGoldII","Rotates360°verticallywithcontinuouslyuprightimageandincludesintegratedanamorphicswitchandcontrastviewingfilters(ND.6and.9).Short,mediumandlongeyepieces;allcanbeheatedandhavemanualiris.Mediumandlongeyepiecesincludeextramagnifierswitch."
"Arriflex35BL-3","Standardandanamorphicextensiontubes;eyepiecerotates90°aboveandbelowlevelwithcontinuousuprightimage."
"Arriflex35-3C","6.5xmagnifiedimage;doorscanbechangedbetweenfixedeyepiece,210°rotatingeyepiece,andoffseteyepiece."
"MoviecamSuperAmerica","Sphericalandanamorphicshorteyepieces,sphericallongeyepiece,andlongeyepiecewithanamorphicswitch.Orientableviewfinderblockalsoallowsrotationfromlefttorightofandextensionawayfromthecamera,butstandardviewfinderdoesnot.Bothcanrotate360°vertically,offercontinuousuprightimage,andincludeanintegratedcontrastviewingfilter(ND.6),heatedeyepiece,andmanualiris.6.1xmagnification,with2.4xzoomavailableonlongeyepieces."
"Arriflex35BL-4","Superwideangleeyepiecewith6.5xmagnificationandmanualiris.Standardandanamorphicextensiontubes,aswellasalongerstandardtubewithswitchablecontrastviewingfilterand2xzoom;eyepiecerotates90°aboveandbelowlevelwithcontinuousuprightimage.BiggerexitpupilforbrighterimagethanolderBLmodels."
"PanaflexPlatinum","Rotates360°verticallywithcontinuouslyuprightimageandincludesintegratedanamorphicswitchandcontrastviewingfilters(ND.6and.9).Short,mediumandlongeyepieces;allcanbeheatedandhavemanualiris.Mediumandlongeyepiecesincludeextramagnifierswitch."
"PanaflexPanastarII","Rotates360°verticallywithcontinuouslyuprightimageandincludesintegratedanamorphicswitchandcontrastviewingfilters(ND.6and.9).Short,mediumandlongeyepieces;allcanbeheatedandhavemanualiris.Mediumandlongeyepiecesincludeextramagnifierswitch."
"Arriflex35BL-4s","Superwideangleeyepiecewith6.5xmagnificationandmanualiris.Standardandanamorphicextensiontubes,aswellasalongerstandardtubewithswitchablecontrastviewingfilterand2xzoom;eyepiecerotates90°aboveandbelowlevelwithcontinuousuprightimage.BiggerexitpupilforbrighterimagethanolderBLmodels."
"Arriflex535","Sphericalandanamorphicviewfinders;canrotateverticallyandlefttoright,withuprightimagecontinuously.Switchablecontrastviewingfilters(ND.3and.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"MoviecamCompact","Sphericalandanamorphicshorteyepieces,sphericallongeyepiece,andlongeyepiecewithanamorphicswitch.Orientableviewfinderblockalsoallowsrotationfromlefttorightofandextensionawayfromthecamera,butstandardviewfinderdoesnot.Bothcanrotate360°vertically,offercontinuousuprightimage,andincludeanintegratedcontrastviewingfilter(ND.6),heatedeyepiece,andmanualiris.6.1xmagnification,with2.4xzoomavailableonlongeyepieces."
"Arriflex535B","Sphericalandanamorphicviewfinders;canrotateverticallyandlefttoright,withuprightimagecontinuously.Switchablecontrastviewingfilters(ND.3and.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"Arriflex435","Sphericalandanamorphicviewfinders;canrotate360°verticallyand270°lefttoright,withuprightimagecontinuouslyandcanbeextendedout.Integratedcontrastviewingfilter(ND.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"Arriflex435ES","Sphericalandanamorphicviewfinders;canrotate360°verticallyand270°lefttoright,withuprightimagecontinuouslyandcanbeextendedout.Integratedcontrastviewingfilter(ND.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"MoviecamSL","Sphericalandanamorphicshorteyepieces,sphericallongeyepiece,andlongeyepiecewithanamorphicswitch.Orientableviewfinderblockalsoallowsrotationfromlefttorightofandextensionawayfromthecamera,butstandardviewfinderdoesnot.Bothcanrotate360°vertically,offercontinuousuprightimage,andincludeanintegratedcontrastviewingfilter(ND.6),heatedeyepiece,andmanualiris.6.1xmagnification,with2.4xzoomavailableonlongeyepieces."
"Aaton35-III","Short,medium,andlongeyepieces,alsoavailableinanamorphic;allcanrotate360°andtoleftorrightofcamerawithuprightimagecontinuouslyandhavemanualiris.Heatedeyepieceintegratedintolongeyepieceandoptionalinmediumeyepiece."
"PanaflexMillennium","Rotates360°verticallywithcontinuouslyuprightimageandincludesintegratedanamorphicswitchandcontrastviewingfilters(ND.6and.9).Short,mediumandlongeyepieces;allcanbeheatedandhavemanualiris.Mediumandlongeyepiecesincludeextramagnifierswitch."
"PanaflexMillenniumXL","Rotates360°verticallywithcontinuouslyuprightimageandincludesintegratedanamorphicswitchandcontrastviewingfilters(ND.6and.9).Short,mediumandlongeyepieces;allcanbeheatedandhavemanualiris.Mediumandlongeyepiecesincludeextramagnifierswitch."
"ArricamLT","CanuseLT,ST,LTuniversal,orSTuniversalviewfinders(universalshaveanamorphicswitch);allcanrotate360°andtoleftorrightofcamerawithuprightimagecontinuously.Integratedcontrastviewingfilter(ND.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"ArricamST","CanuseLT,ST,LTuniversal,orSTuniversalviewfinders(universalshaveanamorphicswitch);allcanrotate360°andtoleftorrightofcamerawithuprightimagecontinuously.Integratedcontrastviewingfilter(ND.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"Arriflex435Advanced","Sphericalandanamorphicviewfinders;canrotate360°verticallyand270°lefttoright,withuprightimagecontinuouslyandcanbeextendedout.Integratedcontrastviewingfilter(ND.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"Aaton35-3P","Short,medium,andlongeyepieces,alsoavailableinanamorphic;allcanrotate360°andtoleftorrightofcamerawithuprightimagecontinuouslyandhavemanualiris.Heatedeyepieceintegratedintolongeyepieceandoptionalinmediumeyepiece."
"Arriflex235","sphericaloruniversal(withanamorphicswitch)viewfinder;armcantelescopefurtherawayfromcamera,rotate360°oncameraaxis,and270°leftandrightofcamera,allwithcontinuousuprightimage.Optionalheatedeyecup;mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
"Arriflex435Xtreme","Sphericalandanamorphicviewfinders;canrotate360°verticallyand270°lefttoright,withuprightimagecontinuouslyandcanbeextendedout.Integratedcontrastviewingfilter(ND.6);mediumandlongextensiontubes,heatedeyepiece,andmanualiris."
