"Othersoftware","Softwaretype","FOSS","Softwarelicense","Active","LastUpdate"
"ADCCore","Generallibrary","Yes","GNUGPL","Yes",""
"DCBouncer","Relay","Yes","GNUGPL","Yes",""
"DC-Hublink","Hublinker","Yes","GNUGPL","No",""
"DCWatch","Huboperatorhelper","Yes","GNUGPL","No",""
"Embla","Generallibrary","Yes","GNUGPL","?",""
"FlowLib","Generallibrary","Yes","GNUGPL","Yes",""
"NetChatLink","Hublinker","Yes","GNUGPL","Yes",""
"AnnouncerBot","AnnouncenewReleases","Yes","GNUGPLv2","Yes",""
"Certmanager","ManageSSLCertificates","Yes","GNUGPLv2","Yes",""
"SerieBot","SerieBot","Yes","GNUGPL","Yes",""
"Othersoftware","Softwaretype","FOSS","Softwarelicense","Active",""
