"Cameramodel","Reflex?","Design","Location","Adjustment","Angles"
"Eyemo71K","No,butmanyconversions","Half-moon","Besidegate","fixed","160°;manyconversionsfordifferentangles"
"Arriflex35-2C","Yes","Butterfly","Underneathgate","fixed","180°,althoughtheV/Bvariantisadjustablefrom0°to165°"
"Arriflex35BL-1","Yes","Butterfly","Underneathgate","fixed","180°"
"Panaflex-X","Yes","Butterfly","Besidegate","manuallywhilerunningorinstandby","between50°and200°,continuouslyadjustable"
"Arriflex35BL-2","Yes","Butterfly","Underneathgate","fixed","180°"
"PanaflexGoldII","Yes","Butterfly","Besidegate","manuallywhilerunningorinstandby","between50°and200°,continuouslyadjustable"
"Arriflex35BL-3","Yes","Half-moon","Underneathgate","manual","stopsat144°,172.8°,and180°"
"Arriflex35-3C","Yes","Butterfly","Underneathgate","manual","0°to165°withstopsevery15°"
"MoviecamSuperAmerica","Yes","Half-moon","Underneathgate","manual","stopsat45°,90°,120°,144°,172.8°,and180°."
"Arriflex35BL-4","Yes","Half-moon","Underneathgate","manual","stopsat144°,172.8°,and180°"
"PanaflexPlatinum","Yes","Butterfly","Besidegate","electronicormanuallywhilerunningorinstandby","between50°and200°,in0.1°stops"
"PanaflexPanastarII","Yes","Butterfly","Besidegate","electronicormanuallywhilerunningorinstandby","between45°and180°,in0.1°stops"
"Arriflex35BL-4s","Yes","Half-moon","Underneathgate","manual","stopsat144°,172.8°,and180°"
"Arriflex535","Yes","Half-moon","Underneathgate","electronic","between11°to180°,in0.01°stops"
"MoviecamCompact","Yes","Half-moon","Underneathgate","manual","stopsat45°,90°,120°,144°,172.8°,and180°.22.5°availableonnewermodels."
"Arriflex535B","Yes","Half-moon","Underneathgate","manual","stopsevery15°between15°and180°,alsostopsat144°and172.8°"
"Arriflex435","Yes","Half-moon","Underneathgate","manual","stopsevery15°between30°and135°,alsostopsat11.2°,22.5°,144°,172.8°,and180°"
"Arriflex435ES","Yes","Half-moon","Underneathgate","electronic","between11.2°to180°,in0.1°stops"
"MoviecamSL","Yes","Half-moon","Underneathgate","manual","stopsat22.5°,45°,90°,120°,144°,172.8°,and180°."
"Aaton35-III","Yes","Half-moon","Underneathgate","manual","stopsat144°,150°,172.8°,and180°"
"PanaflexMillennium","Yes","Butterfly","Besidegate","electronicormanuallywhilerunningorinstandby","between11.2°and180°,in0.1°stops"
"PanaflexMillenniumXL","Yes","Butterfly","Besidegate","electronicormanuallywhilerunningorinstandby","between11.2°and180°,in0.1°stops"
"ArricamLT","Yes","Half-moon","Underneathgate","electronic","between0°and180°,in0.1°stops"
"ArricamST","Yes","Half-moon","Underneathgate","electronic","between0°and180°,in0.1°stops"
"Arriflex435Advanced","Yes","Half-moon","Underneathgate","electronic","between11.2°and180°,in0.1°stops"
"Aaton35-3P","Yes","Half-moon","Underneathgate","manual","stopsat144°,150°,172.8°,and180°"
"Arriflex235","Yes","Half-moon","Underneathgate","manual","stopsevery15°between45°and150°,alsostopsat144°,172.8°,and180°"
"Arriflex435Xtreme","Yes","Half-moon","Underneathgate","electronic","between11.2°and180°,in0.1°stops"
