"","Argumentvalues","Argumentcounts","Programname/Scriptname"
"Ada","Argument(n)","Argument_Count","Command_Name"
"C(C99)","argv[n]","argc","firstargument"
"Objective-C","argv[n]","argc","firstargument"
"C++","argv[n]","argc","firstargument"
"C#","args[n]","args.Length","Assembly.GetEntryAssembly().Location;"
"Java","args[n]","args.length",""
"D","args.length","args[n]","firstargument"
"JavaScriptWindowsScriptHostimplementation","WScript.Arguments(n)","WScript.Arguments.length","WScript.ScriptNameorWScript.ScriptFullName"
"Go","os.Args[n]","len(os.Args)","firstargument"
"Rust","std::env::args().nth(n)std::env::args_os().nth(n)","std::env::args().count()std::env::args_os().count()","std::env::args().next()std::env::args_os().next()"
"Swift","Process.arguments[n]orProcess.unsafeArgv[n]","Process.arguments.countorProcess.argc","firstargument"
"CommonLisp","?","?","?"
"Scheme(RRS)","(list-ref(command-line)n)","(length(command-line))","firstargument"
"ISLISP","N/A","N/A","N/A"
"Pascal","ParamStr(n)","ParamCount","firstargument"
"VisualBasic","Command","N/A","App.Path"
"VisualBasic.NET","CmdArgs(n)","CmdArgs.Length","[Assembly].GetEntryAssembly().Location"
"Xojo","System.CommandLine","(stringparsing)","Application.ExecutableFile.Name"
"Python","sys.argv[n]","len(sys.argv)","firstargument"
"S-Lang","__argv[n]","__argc","firstargument"
"Fortran","DOi=1,argcCALLGET_COMMAND_ARGUMENT(i,argv(i))ENDDO","argc=COMMAND_ARGUMENT_COUNT()","CALLGET_COMMAND_ARGUMENT(0,progname)"
"PHP","$argv[n]","$argc","firstargument"
"Bashshell","$n($1,$2,$3,...)$@(allarguments)","$#","$0"
"Perl","$ARGV[n]","scalar(@ARGV)","$0"
"Raku","@*ARGS[n]","@*ARGS.elems","$PROGRAM_NAME"
"Ruby","ARGV[n]","ARGV.size","$0"
"WindowsPowerShell","$args[n]","$args.Length","$MyInvocation.MyCommand.Name"
"OCaml","Sys.argv.(n)","Array.lengthSys.argv","firstargument"
"F#","args.[n]","args.Length","Assembly.GetEntryAssembly().Location"
"StandardML","List.nth(CommandLine.arguments(),n)","length(CommandLine.arguments())","CommandLine.name()"
"Haskell(GHC)","do{args<-System.getArgs;returnlengthargs!!n}","do{args<-System.getArgs;returnlengthargs}","System.getProgName"
"COBOL","","","N/A"
