"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"iSAID:InstanceSegmentationinAerialImagesDataset","","Preciseinstance-levelannotatiocarriedoutbyprofessionalannotators,cross-checkedandvalidatedbyexpertannotatorscomplyingwithwell-definedguidelines.","655,451(15classes)","Images,jpg,json","AerialClassification,ObjectDetection,InstanceSegmentation","2019","","SyedWaqasZamir,AdityaArora,AkshitaGupta,SalmanKhan,GuoleiSun,FahadShahbazKhan,FanZhu,LingShao,Gui-SongXia,XiangBai"
"AerialImageSegmentationDataset","80high-resolutionaerialimageswithspatialresolutionrangingfrom0.3to1.0.","Imagesmanuallysegmented.","80","Images","AerialClassification,objectdetection","2013","","J.Yuanetal."
"KITAISDataSet","Multiplelabeledtrainingandevaluationdatasetsofaerialimagesofcrowds.","Imagesmanuallylabeledtoshowpathsofindividualsthroughcrowds.","~150","Imageswithpaths","Peopletracking,aerialtracking","2012","","M.Butenuthetal."
"WiltDataset","Remotesensingdataofdiseasedtreesandotherlandcover.","Variousfeaturesextracted.","4899","Images","Classification,aerialobjectdetection","2014","","B.Johnson"
"MASATIdataset","Maritimescenesofopticalaerialimagesfromthevisiblespectrum.Itcontainscolorimagesindynamicmarineenvironments,eachimagemaycontainoneormultipletargetsindifferentweatherandilluminationconditions.","Objectboundingboxesandlabeling.","7389","Images","Classification,aerialobjectdetection","2018","","A.-J.Gallegoetal."
"ForestTypeMappingDataset","SatelliteimageryofforestsinJapan.","Imagewavelengthbandsextracted.","326","Text","Classification","2015","","B.Johnson"
"OverheadImageryResearchDataSet","Annotatedoverheadimagery.Imageswithmultipleobjects.","Over30annotationsandover60statisticsthatdescribethetargetwithinthecontextoftheimage.","1000","Images,text","Classification","2009","","F.Tanneretal."
"SpaceNet","SpaceNetisacorpusofcommercialsatelliteimageryandlabeledtrainingdata.","GeoTiffandGeoJSONfilescontainingbuildingfootprints.",">17533","Images","Classification,ObjectIdentification","2017","","DigitalGlobe,Inc."
"UCMercedLandUseDataset","TheseimagesweremanuallyextractedfromlargeimagesfromtheUSGSNationalMapUrbanAreaImagerycollectionforvariousurbanareasaroundtheUS.","Thisisa21classlanduseimagedatasetmeantforresearchpurposes.Thereare100imagesforeachclass.","2,100","Imagechipsof256x256,30cm(1foot)GSD","Landcoverclassification","2010","","YiYangandShawnNewsam"
"SAT-4AirborneDataset","ImageswereextractedfromtheNationalAgricultureImageryProgram(NAIP)dataset.","SAT-4hasfourbroadlandcoverclasses,includesbarrenland,trees,grasslandandaclassthatconsistsofalllandcoverclassesotherthantheabovethree.","500,000","Images","Classification","2015","","S.Basuetal."
"SAT-6AirborneDataset","ImageswereextractedfromtheNationalAgricultureImageryProgram(NAIP)dataset.","SAT-6hassixbroadlandcoverclasses,includesbarrenland,trees,grassland,roads,buildingsandwaterbodies.","405,000","Images","Classification","2015","","S.Basuetal."
