"ADCclient","GUI","CLI","WebUI","Programminglanguage","Basedon"
"AirDC++","Yes","No","Yes","C++","StrongDC++"
"AirDC++WebClient","No","No","Yes","C++,TypeScript","AirDC++"
"ApexDC++","Yes","No","No","C++,Lua","StrongDC++"
"DC++","Yes","No","No","C++",""
"Jucy","Yes","No","No","Java",""
"LinuxDC++","Yes","No","No","C++","DC++"
"EiskaltDC++","Yes","Yes","Yes","C++,Lua","DC++"
"FlylinkDC++","Yes","No","Yes","C++","StrongDC++,DC++,ApexDCspeedmode"
"RSX++","Yes","No","No","C++,Lua","StrongDC++"
"TKDC++","Yes","No","No","C++,Lua","StrongDC++,DC++"
"StrongDC++","Yes","No","No","C++","DC++"
"ncdc","No","Yes","No","C",""
"ADCclient","GUI","CLI","WebUI","Programminglanguage","Basedon"
