"","basic/voidmethod","value-returningmethod"
"ABAPObjects","methodsname«importingparameter=argument»«exportingparameter=argument»«changingparameter=argument»«returningvalue(parameter)»methodname.instructionsendmethod.",""
"APL(Dyalog)","?«leftargument»name«rightarguments»instructions?","?result?«leftargument»name«rightarguments»instructions?"
"C++typefoo(«parameters»);Theimplementationofmethodsisusuallyprovidedinaseparatesourcefile,withthefollowingsyntaxtypeclass::foo(«parameters»){instructions}","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}"
"C#","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}"
"D","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}"
"Java","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}"
"eC","void««typeof'this'»::»foo(«parameters»){instructions}","type««typeofthis»::»foo(«parameters»){instructions...returnvalue;}"
"Eiffel","foo(«parameters»)doinstructionsend","foo(«parameters»):TYPEdoinstructions...Result:=valueend"
"Objective-C","-(void)foo«:parameter«bar:parameter...»»{instructions}","-(type)foo«:parameter«bar:parameter...»»{instructions...returnvalue;}"
"Swift","funcfoo(«parameters»){instructions}","funcfoo(«parameters»)->type{instructions...returnvalue}"
"Python","deffoo(self«,parameters»):Tab?instructions","deffoo(self«,parameters»):Tab?instructionsTab?returnvalue"
"VisualBasic.NET","SubFoo(«parameters»)instructionsEndSub","FunctionFoo(«parameters»)Astypeinstructions...ReturnvalueEndFunction"
"Xojo","SubFoo(«parameters»)instructionsEndSub","FunctionFoo(«parameters»)Astypeinstructions...ReturnvalueEndFunction"
"PHP","functionfoo(«parameters»)«:void»{instructions}","functionfoo(«parameters»)«:type»{instructions...returnvalue;}"
"Perl","subfoo{my($self«,parameters»)=@_;instructions}","subfoo{my($self«,parameters»)=@_;instructions...returnvalue;}"
"Raku","«has»«multi»methodfoo(««$self:»parameters»){instructions}","«has«type»»«multi»methodfoo(««$self:»parameters»){instructions...returnvalue;}"
"Ruby","deffoo«(parameters)»instructionsend","deffoo«(parameters)»instructionsexpressionresultinginreturnvalueendordeffoo«(parameters)»instructionsreturnvalueend"
"WindowsPowerShell","Add-Member«-MemberType»ScriptMethod«-Name»foo«-Value»{«param(parameters)»instructions}-InputObjectvariable","Add-Member«-MemberType»ScriptMethod«-Name»foo«-Value»{«param(parameters)»instructions...returnvalue}-InputObjectvariable"
"OCaml","N/A","methodfoo«parameters»=expression"
"F#","N/A","memberthis.foo(«parameters»)=expression"
"JavaScript","this.method=function(«parameters»){instructions}name«.prototype.method=function(«parameters»){instructions}","this.method=function(«parameters»){instructions...returnvalue;}name«.prototype.method=function(«parameters»){instructions...returnvalue;}"
"Javascript(ES6)","foo(«parameters»){instructions}","foo(«parameters»){instructions...returnvalue;}"
"COBOL","METHOD-ID.foo.«DATADIVISION.LINKAGESECTION.parameterdeclarations»PROCEDUREDIVISION«USINGparameters».instructionsENDMETHODfoo.","METHOD-ID.foo.DATADIVISION.LINKAGESECTION.«parameterdeclarations»result-vardeclarationPROCEDUREDIVISION«USINGparameters»RETURNINGresult-var.instructionsENDMETHODfoo."
"Cobra","deffoo(parameters)Tab?instructions","deffoo(parameters)astypeTab?instructionsTab?returnvalue"
"ISLISP","(defgenericmethod(arg1arg2))(defmethodmethod((arg1<class1>arg2<class2>)...)",""
