"Atom(ULV)","Atom(ULV)","","Featuresize","x86","","","","","","","x86",""
"Microarchi.","","Featuresize","","Step","","Microarchi.","Step"
"","","","600nm","","P6","","PentiumPro(133MHz)"
"","500nm","P6","","PentiumPro(150MHz)","",""
"","350nm","P6","","PentiumPro(166–200MHz)","",""
"350nm","","Klamath","P6","","",""
"","250nm","P6","","Deschutes","",""
"250nm","","Katmai","","","","P6","","","","NetBurst",""
"","","180nm","","P6","","Coppermine","","Willamette"
"","","130nm","","P6","","Tualatin","","Northwood"
"130nm","","Northwood","","Banias","P6","","","","NetBurst(HT)","","NetBurst(×2)"
"","","90nm","P6","","Dothan","","Prescott","?","Prescott?2M","?","Smithfield"
"90nm","Dothan","","","Tejas","P6","","?","","?","?","Cedarmill(Tejas)"
"","","65nm","P6","","Yonah","","Nehalem(NetBurst)","","CedarMill","?","Presler"
"65nm","","4coresonmainstreamdesktop,DDR3introduced","4coresonmainstreamdesktop,DDR3introduced","4coresonmainstreamdesktop,DDR3introduced","4coresonmainstreamdesktop,DDR3introduced","4coresonmainstreamdesktop,DDR3introduced","Core","","Merom","","4coresonmainstreamdesktop,DDR3introduced"
"Core","Bonnell","","Bonnell","","","","","","","45nm","Penryn",""
"Bonnell","Bonnell","HTreintroduced,integratedMC,PCHL3-cacheintroduced,256KBL2-cache/core","HTreintroduced,integratedMC,PCHL3-cacheintroduced,256KBL2-cache/core","HTreintroduced,integratedMC,PCHL3-cacheintroduced,256KBL2-cache/core","HTreintroduced,integratedMC,PCHL3-cacheintroduced,256KBL2-cache/core","HTreintroduced,integratedMC,PCHL3-cacheintroduced,256KBL2-cache/core","45nm","Nehalem","","Nehalem","","HTreintroduced,integratedMC,PCHL3-cacheintroduced,256KBL2-cache/core"
"Nehalem","Bonnell","Saltwell","introducedGPUonsamepackageandAES-NI","introducedGPUonsamepackageandAES-NI","introducedGPUonsamepackageandAES-NI","introducedGPUonsamepackageandAES-NI","introducedGPUonsamepackageandAES-NI","","32nm","","Westmere","introducedGPUonsamepackageandAES-NI"
"Saltwell","32nm","on-dieringbus,nomorenon-UEFImotherboards","on-dieringbus,nomorenon-UEFImotherboards","on-dieringbus,nomorenon-UEFImotherboards","on-dieringbus,nomorenon-UEFImotherboards","on-dieringbus,nomorenon-UEFImotherboards","Bonnell","SandyBridge","","SandyBridge","","on-dieringbus,nomorenon-UEFImotherboards"
"SandyBridge","Silvermont","","Silvermont","","","","","","","22nm","IvyBridge",""
"Silvermont","Silvermont","FIVR","FIVR","FIVR","FIVR","FIVR","22nm","Haswell","","Haswell","","FIVR"
"Haswell","Silvermont","Airmont","","","","","","","14nm","","Broadwell",""
"Airmont","14nm","DDR4introducedonmainstreamdesktop","DDR4introducedonmainstreamdesktop","DDR4introducedonmainstreamdesktop","DDR4introducedonmainstreamdesktop","DDR4introducedonmainstreamdesktop","Silvermont","Skylake","","Skylake","","DDR4introducedonmainstreamdesktop"
"Skylake","Goldmont","14nm","","","","","","","Goldmont","","KabyLake",""
"Goldmont","6coresonmainstreamdesktop","6coresonmainstreamdesktop","6coresonmainstreamdesktop","6coresonmainstreamdesktop","6coresonmainstreamdesktop","Goldmont","Skylake","CoffeeLake","14nm","","6coresonmainstreamdesktop",""
"Goldmont","mobile-only","mobile-only","mobile-only","mobile-only","mobile-only","Goldmont","Skylake","AmberLake","14nm","","mobile-only",""
"Goldmont","Skylake","mobile-only","mobile-only","mobile-only","mobile-only","mobile-only","GoldmontPlus","14nm","","WhiskeyLake","","mobile-only"
"GoldmontPlus","8coresonmainstreamdesktop","8coresonmainstreamdesktop","8coresonmainstreamdesktop","8coresonmainstreamdesktop","8coresonmainstreamdesktop","Goldmont","Skylake","CoffeeLakeRefresh","14nm","","8coresonmainstreamdesktop",""
"GoldmontPlus","10coresonmainstreamdesktop","10coresonmainstreamdesktop","10coresonmainstreamdesktop","10coresonmainstreamdesktop","10coresonmainstreamdesktop","Goldmont","Skylake","CometLake","14nm","","10coresonmainstreamdesktop",""
"GoldmontPlus","Goldmont","BackportedSunnyCovemicroarchitecturefor14nm","BackportedSunnyCovemicroarchitecturefor14nm","BackportedSunnyCovemicroarchitecturefor14nm","BackportedSunnyCovemicroarchitecturefor14nm","BackportedSunnyCovemicroarchitecturefor14nm","CypressCove","14nm","","RocketLake","","BackportedSunnyCovemicroarchitecturefor14nm"
"Tremont","","Tremont","","10nm","mobile-only","mobile-only","mobile-only","mobile-only","mobile-only","PalmCove","CannonLake","mobile-only"
"Tremont","Tremont","512KBL2-cache/core","512KBL2-cache/core","512KBL2-cache/core","512KBL2-cache/core","512KBL2-cache/core","10nm","SunnyCove","","IceLake","","512KBL2-cache/core"
"Tremont","Tremont","Xgraphicsengine","Xgraphicsengine","Xgraphicsengine","Xgraphicsengine","Xgraphicsengine","10nm","WillowCove","","TigerLake","","Xgraphicsengine"
"Gracemont","","Gracemont","","Intel7","Hybrid,DDR5,PCIe5.0","Hybrid,DDR5,PCIe5.0","Hybrid,DDR5,PCIe5.0","Hybrid,DDR5,PCIe5.0","Hybrid,DDR5,PCIe5.0","GoldenCove","AlderLake","Hybrid,DDR5,PCIe5.0"
"Gracemont","Gracemont","","","","","","Intel7","RaptorCove","","RaptorLake","",""

