"SabayonLinux","Free,andnonfree","","?","Portage,Entropy","ebuild,.tbz2","Calamares","Yes","?","?"
"Scientific","Free,andnonfree","","?","APT/yum","RPM","","Yes","?","?"
"Slackware","Free,andnonfree","2,292","7,705fromSlackBuilds","slackpkg","tgz,.txz,.tlz,.tbz","bashscript","No","Yes","Yes"
"Slax","Free,andnonfree","2,050","?","none",".lzm","","","?","?"
"SliTazGNU/Linux","Free,andnonfree","3,381","?","Tazpkg",".tazpkg","tazinst","Yes","iPXE","iPXE"
"Solus","Free,andnonfree","9,500","?","eopkg",".eopkg","os-installer","Yes","No","No"
"SourceMageGNU/Linux","Free,andnonfree","118","8,876","SorceryPackageManager","src","","Yes","?","?"
"SUSELinux","Free,andnonfree","24,094","11,385","YaST,Zypper","RPM","YaST","Yes","?","?"
"TinyCoreLinux","Free,andnonfree","25,160","?","ab,tce-load","tcz","tc-install,core2usb","Yes","?","?"
"TinySliTaz","Free,andnonfree","50","?","Website","tazpkg","","No","?","iPXE"
"Trisquel","Freeonly","52,748","?","APT",".deb","Ubiquity","Yes","Yes","?"
"TurnKeyGNU/Linux","Free,andnonfree","(plus?30custompackages)","21,041(currentlyTurnKeyonlysuppliessourcecodeforcustompackages)","APT",".deb","DI-Live(customforkofDebianInstaller)","No","No","No"
"Ubuntu,Kubuntu,Xubuntu","Free,andnonfree","93,920","24,474","APT",".deb","Ubiquity","Yes","Yes","PXE"
"Ututo","Freeonly","5,000","?","UTUTOPackageManager","ebuild","?","?","No","No"
"VectorLinux","Free,andnonfree","?","?","slapt-get,gslapt,installpkg","tgz","","Yes","?","?"
"VoidLinux","Free,nonfreeandmultilib","6,000","6,719","xbps",".xbps","ncursesscript","Yes","Yes","No"
"XBMCLive","Free,andnonfree","?","?","APT",".deb","","No","?","?"
"Zentyal","Free,andnonfree","","?","APT",".deb","dpkg","Yes","?","?"
"Zenwalk","Free,andnonfree","2,000","?","netpkg,installpkg,upgradepkg","tgz,txz","","Yes","?","?"
"Distribution","Freesoftwarerepositories","Approximatenumberofpre-compiledpackages","Approximatenumberofsourcepackages","Defaultpackagemanagementtools","Packageformat","Defaultinstaller","Graphicalinstallationprocess","Netinstall","Netboot"
