"GhostBSD","IA-32,x86-64","UFS2,ext2,ext3,FAT,ISO9660,UDF,NFS,ReiserFS(readonly),XFS(experimental),ZFS,others","Monolithicwithmodules","","Yes","Portscollection,packages","bysource,networkbinaryupdate(freebsdupdate)","BSD/POSIX","Mono,Java,Win16,Win32,Linux"
"Linux","IA-32,x86-64,ARM,PowerPC,SPARC,others","ext2,ext3,ext4,btrfs,ReiserFS,FAT,ISO9660,UDF,NFS,andothers","Monolithicwithmodules","?15million(kernel)linesofcodeforuserlandlibrariesandapplicationsvarydependingonthedistribution","Yes","Dependsonthedistribution","","Linux/POSIX","Mono,Java,Win16,Win32"
"Haiku","IA-32,PowerPC,x86-64","BFS(default),FAT,ISO9660,ext3,NTFS","Hybrid","?5.2million","Yes","Portscollection(haikuport)","pkgman,HaikuDepot","POSIX,BeOSAPI","Java,Qt"
"HP-UX","PA-RISC,IA-64","VxFS,HFS,CDFS,EVFS,NFS,CIFS","Monolithicwithmodules","","No","SD,swinstall","swa(HP-UXSoftwareAssistant)","SysV/POSIX",""
"Inferno","IA-32,PowerPC,SPARC,Alpha,MIPS,others","Styx/9P2000,kfs,FAT,ISO9660","Monolithicwithmodules,userspacefilesystems","","Yes","?","?","Proprietary",""
"iOS","ARMv8-A(iOS7–present),ARMv7-A(iPhoneOS3–iOS10),ARMv6(iPhoneOS1–iOS4.2.1)","HFS+(priortoversion10.3),APFS(sinceversion10.3)","Hybrid","?80million","Yes","?","SoftwareUpdate","Cocoa,BSD-POSIX","?"
"ClassicMacOS","68k,PowerPC","HFS+,HFS,MFS(MacOS8.0andbefore),AFP,ISO9660,FAT(System7andlater),UDF","Monolithicwithmodules","","Yes","None","SoftwareUpdate(onlyinMacOS9)","Toolbox,Carbon(fromversion8.1)",""
"macOS","Applesilicon(11-present),x86-64(10.4.7–present),IA-32(10.4.4–10.6.8),PowerPC(10.0–10.5.8)(seealsoiOSforARM)","HFS+(defaultonharddrives,andonflashdrivesuptoSierra),APFS(defaultonflashdrivesinHighSierra),HFS,UFS,AFP,ISO9660,FAT,UDF,NFS,SMBFS,NTFS(readonly),FTP,WebDAV,ZFS(experimental)","Hybridwithmodules","?86million","Yes","macOSInstaller","SoftwareUpdate","Carbon,Cocoa,Java,BSD-POSIX","Toolbox(onlyinversionsuptoMacOSX10.4,notsupportedonx86architecture),Win16,Win32"
"MINIX3","IA-32","","Microkernel","?12,000(C)+?1,400(Assembly)","No","","","POSIX",""
"NetBSD","IA-32,x86-64,ARM,MIPS,PowerPC,sparc64,others","UFS,UFS2,ext2,FAT,ISO9660,NFS,LFS,andothers","Monolithicwithmodules","","No","pkgsrc","bysourceorbinary(usingsysinst)","BSD-POSIX","Linux,others"
"NetWare","16-bitx86,IA-32","NSS,NWFS,FAT,NFS,AFP,UDF,CIFS,ISO9660","Hybrid","","Yes","NWCONFIG.NLM,RPM,X11-basedGUIinstaller","binaryupdates,ZENWorksforServers,RedCarpet","Proprietary",""
"OpenBSD","IA-32,x86-64,SPARC,68k,Alpha,VAX,others","ffs,ext2,FAT,ISO9660,NFS,someothers","Monolithic","","No","Portscollection,packages","bysourceorbinary(packagesviapkg_add)","BSD-POSIX",""
"OpenVMS","VAX,Alpha,IA-64","Files-11(ODS),ISO9660,NFS,CIFS","Monolithicwithmodules","","No","PCSI,VMSINSTAL","?","Proprietary","POSIX"
"OS/2","16-bitx86(1.xonly),IA-32","HPFS,JFS,FAT,ISO9660,UDF,NFS","Monolithicwithmodules","","Yes","FeatureInstallandothers","?","Proprietary,DOSAPI,Win16","Win32"
"Plan9","IA-32,Alpha,MIPS,PowerPC,SPARC,others","fossil/venti,9P2000,kfs,ext2,FAT,ISO9660","Hybrid,userspacefilesystems","?2.5Million/sys/src(completesourceofallsupportedarchitectures,kernels,commandsandlibraries)","Yes","None","replica","Proprietary(Unix-like)","POSIXcompatibilitylayer"
"QNX","x86,SH-4,PowerPC,ARM,MIPS","QNX4FS,QNX6,ext2,FAT,ISO9660,Joliet,NFS,CIFS,ETFS,UDF,HFS,HFS+,NTFS,others","Microkernel","","","","","POSIX,Java",""
"ReactOS","IA-32,PowerPC,ARM","FAT,BTRFS,andNTFS(readonly)","Hybrid","nearly8million","Yes","ReactOSApplicationsManager,MSI,custominstallers","None","Win32,NTAPI","DOSAPI"
"RISCOS","ARM(both26and32-bitaddressingmodes)","AcornADFS,EconetANFS,FAT,ISO9660,manyothersasloadablefilesystems","Monolithicwithmodules.Cooperativemultitaskingwithlimitedmemoryprotection.","","Yes","Applicationsself-contained;hardwaredriversofteninROM","!IyoUpWtch","HugenumberofSWIcalls;extensiveClibraries",""
"Solaris","IA-32,x86-64,SPARC","UFS,ZFS,ext2,FAT,ISO9660,UDF,NFS,QFS,someothers","Monolithicwithmodules","","Yes","SysVpackages(pkgadd)ImagePackagingSystem(pkg)(Solaris11andlater)","ImagePackagingSystem(Solaris11andlater)","SysV/POSIX,GTK,Java","Win16,Win32,Mono,Linux"
"OpenSolaris","IA-32,x86-64,SPARC(AI)","UFS,ZFS,ext2,FAT,ISO9660,UDF,NFS,QFS,someothers","Monolithicwithmodules","?18.8million","Yes","ImagePackagingSystem(pkg),SysVpackages(pkgadd)","ImagePackagingSystem","SysV/POSIX,GTK,Java","Win16,Win32,Mono,Linux"
"STOP6,XTS-400","x86","Proprietary","Monolithic","","No","RPMforsomeuntrustedapplications","Binaryupdatesviapostalmailandproprietarytools","Some:SysV,POSIX,Linux,proprietary",""
"Symbian","ARM","FAT","Microkernel","","Yes","SISfiles","FOTA","Proprietary","POSIXcompatibilitylayer"
"TrueOS","IA-32,x86-64","UFS2,ext2,ext3,FAT,ISO9660,UDF,NFS,ReiserFS(readonly),XFS(experimental)andothers","Monolithicwithmodules","","Yes","Portscollection,packages,PBIGraphicalInstallers","byPBIupdates,source,networkbinaryupdate(freebsdupdate)","BSD-POSIX","Win16,Win32"
"WindowsServer(NTfamily)","IA-32,x86-64,IA-64","NTFS,FAT,ISO9660,UDF;3rd-partydriverssupportext2,ext3,ReiserFS,andHFS","Hybridwithmodules","?45million","Yes","MSI,custominstallers","WindowsUpdate","Win32,NTAPI","DOSAPI,Win16(onlyin32-bitversions),POSIX,.NET"
"Windows(NTfamily)","IA-32,x86-64,ARM,IA-64,Alpha,MIPS,PowerPC","NTFS,FATexFATISO9660,UDF;3rd-partydriverssupportext2,ext3,ReiserFS,HFS+,FATX,andHFS(withthirdpartydriver)","Hybridwithmodules","?40(XP)/64(Vistaandlater)million","Yes","MSI,custominstallers","WindowsUpdate","Win32,NTAPI","DOSAPI,Win16(onlyin32-bitversions),POSIX,.NET"
"ZETA","IA-32","BFS(default),FAT,ISO9660,UDF,HFS,AFP,ext2,CIFS,NTFS(readonly),ReiserFS(readonly,uptov3.6)","Hybrid","","Yes","SoftwareValet,script-basedinstallers","None","POSIX,BeOSAPI",""
"z/OS","z/Architecture","VSAM,BDAM,QSAM,BPAM,HFS,zFS,etc.","Protected,multithreading,multitaskingnucleuswithprogrammable/userreplaceableextensions.Notkernel-based.","","No","None,SMP/E","SMP/E","Filesystemaccessmethods,SystemsServices,etc.","POSIX,manyothers."
"Name","Computerarchitecturessupported","Filesystemssupported","Kerneltype","Sourcelinesofcode","GUIdefaultison","Packagemanagement","Updatemanagement","NativeAPIs","Non-nativeAPIssupportedthroughsubsystems"
