"Name","Computerarchitecturessupported","Filesystemssupported","Kerneltype","Sourcelinesofcode","GUIdefaultison","Packagemanagement","Updatemanagement","NativeAPIs","Non-nativeAPIssupportedthroughsubsystems"
"AIX","POWER,PowerPC-AS,PowerPC,PowerISA","JFS,JFS2,ISO9660,UDF,NFS,SMBFS,GPFS","Monolithicwithmodules","","No","installp,RPM","ServiceUpdateManagementAssistant(SUMA)","SysV/POSIX",""
"AmigaOSclassic","68k,PowerPC","Proprietary(OFS,FFS,SFS,PFS),FAT,ISO9660,UDF,manyothersvia3rdpartydrivers,suchasSMBFS,etc.","Microkernel","","Yes","Installer(almostnotneeded)","","Proprietary","BSDsubset(availablethrough3rdpartyixemul.library)"
"AmigaOS4","PowerPC","Proprietary(OFS,FFS,SFS,PFS),JXFS,FAT,ISO9660,UDF,manyothersvia3rdpartydrivers,suchasSMBFS,etc.","Microkernel","","Yes","Installer(almostnotneeded)","AmiUpdate(almostnotneeded)","Proprietary","BSDsubset(availablethrough3rdpartyixemul.library)"
"ArcaOS","IA-32","JFS(default),HPFS,ISO9660,UDF,FAT32,NTFS","Hybrid","","Yes","ANPM(basedonYUMandRPM)","UpdateFacility","OS/2","POSIX,Win16,DOS,Win32,Java"
"ChromeOS","ARM,IA-32,x86-64","eCryptfs,NTFS,FAT,FAT16,FAT32,exFAT,ext2,ext3,ext4,HFS+,MTP(readandwrite),ISO9660(read-only),UDF(read-only)","Monolithicwithmodules","?17million","Yes","Portage","","Linux/POSIX",""
"DragonFlyBSD","x86-64","UFS1,MFS,ext2,FAT(16/32),HAMMER,ISO9660","Hybrid","","No","dports,pkg","git,cvsup,rsync,pkg","BSD/POSIX","Mono,Java,Win16,Win32,Linux"
"eComStation","IA-32","HPFS(default),FAT,JFS,UDF,FAT32,NTFS(readonly)","Hybrid","","Yes","WarpIN,FeatureInstall,others","MaintenanceTool","Proprietary,DOSAPI,Win16","POSIX,Java,others"
"FreeBSD","IA-32,x86-64,ARM,MIPS,PowerPC,others","UFS2,ZFS,ext2,ext3,FAT,ISO9660,UDF,NFS,others","Monolithicwithmodules","6.25million","No","Portscollection,packages","bysource,networkbinaryupdate(freebsdupdate)","BSD/POSIX","Mono,Java,Win16,Win32,Linux"
"Genode","ARM,RISC-V,IA-32,x86-64","ext2,ext3,FAT32,ISO9660","MicrokernelorMonolithickernel","?300,000","No","Custom","None","Genode","POSIX,Qt,SDL,MirageOS"
