"Software","BibTeX","Copac","CSA","Endnote/Refer/BibIX","ISI","Medline","MODSXML","Ovid","PubMed","RIS","SciFinder","Other"
"Bebop","Yes","No","No","No","No","No","No","No","No","No","No","none"
"BibBase","Yes","No","No","No","No","No","No","No","No","No","No","none"
"BibDesk","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","MARC,JSTOR,ReferenceMiner"
"Biblioscape","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"BibSonomy","Yes","No","No","Yes","No","No","No","No","No","No","No","Firefoxbookmarks"
"Bibus","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","none"
"Bookends","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","various[3];user-customizable"
"Citavi","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","various"
"CiteULike","Yes","No","No","No","No","No","No","No","No","Yes","No","none"
"colwiz","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","withbuilt-inbrowser,bookmarklet"
"EndNote","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","various"
"JabRef","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","BibTexML,Biblioscape,Biomail,Inspec,JSTOR,MSBib,PDFwidhXMPannotations,REPEC(NEP),SilverPlatter,SixPack"
"KBibTeX","Yes","No","No","Yes","No","No","Depends","No","Yes","Yes","No","none"
"Mendeley","Yes","No","No","Yes","No","No","No","No","No","Yes","No","Browserbookmarks"
"Paperpile","Yes","No","No","No","No","No","No","No","No","Yes","No","PDF"
"Pybliographer","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","none"
"Qiqqa","Yes","No","No","Yes","No","No","No","No","Yes","No","No","none"
"ReadCube(nowPapers)","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","PDF"
"refbase","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","RefWorks"
"RefDB","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","MARC,risx"
"ReferenceManager","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","various;user-customizable"
"Referencer","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No","none"
"RefME","?","?","?","?","?","?","?","?","?","?","?","?"
"RefWorks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","various"
"SciRef","No","No","No","Yes","No","No","No","No","No","Yes","No","?"
"Sente","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","DublinCore,Marc21SUTRS,JSTOR,SilverPlatter"
"Wikindx","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","BibReXLaTeX"
"WizFolio","No","No","No","No","No","No","No","No","No","Yes","No","InternetBrowserbookmarks"
"Zotero","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","COinS,MARC,RDF,unAPI,Browserbookmarks,EndnoteXML"
