"English","Malay","Indonesian"
"ocean","lautan","samudra,samudera,lautanrarelyusedinformalsituation"
"Oceania","Oceania","Oseania"
"octal","perlapanan","oktal"
"office","pejabat","kantor(fromDutchkantoor)"
"officer","pegawai,kakitangan(anegativeconnotationusuallymeansaccompliceincriminalactivityinIndonesian)","pejabat"
"official(adj.)","rasmi(fromArabo-Persianrasmi??????)","resmi(alsofromrasmi)"
"Olympic","Olimpik","Olimpiade"
"opposition","pembangkang(means""defiance""inIndonesian)","oposisi"
"option","pilihan,opsyen(rare)","pilihan,opsi"
"orange(colour)","jingga,oren","jingga,oranye(fromDutchoranje)"
"orange(fruit)","oren,limau","jeruk,limau"
"order(instruction)","order,perintah","perintah"
"organization","pertubuhan,organisasi","organisasi"
"oscillation","ayunan","osilasi,ayunan"
"oven","ketuhar","oven"
