"Name","Creator","HostCPU","GuestCPU","HostOS","GuestOS","License"
"bhyve","FreeBSD","x86-64","x86,x86-64","FreeBSD,Illumos","FreeBSD,FreeNAS,pfSense,OpenBSD,Linux,Windows,Illumos","BSD"
"Bochs","KevinJ.Lawton","Any","x86,x86-64","Windows,Linux,FreeBSD,Unix/X11,MacOS9,macOS,BeOS,MorphOS,OS/2","Windows,Linux,DOS,BSD,OS/2,Haiku","LGPL"
"Containers,orZones","SunMicrosystems","x86,x86-64,SPARC(portable:nottiedtohardware)","Sameashost","Solaris10,Solaris11,OpenSolaris2009.06,illumosdistributions","Solaris(8,9,10,11),illumos,Linux(BrandZ)","CDDL"
"CooperativeLinux(coLinux)","DanAloni,otherdevelopers","x86","Sameashost","Windows2000,XP,2003,Vista","Linux","GPLversion2"
"CHARON","Stromasys","x86,x86-64","PDP-11,VAX,Alpha,HP3000,Sparc","Windows,Linux","VMS,OpenVMS,Tru64UNIX,MPE/iX,RSX-11,RT11,RSTS,Solaris,SunOS","Proprietary"
"Denali","UniversityofWashington","x86","x86","Denali","Ilwaco,NetBSD","Notdistributed"
"DOSBox","PeterVeenstra,Sjoerdwithcommunity","Any","x86","Linux,Windows,classicMacOS,macOS,BeOS,FreeBSD,NetBSD,OpenBSD,Solaris,QNX,IRIX,MorphOS,AmigaOS,Maemo,Symbian","InternallyemulatedDOSshell;classicPCbootergames,unofficiallyWindows1.0to98","GPL"
"DOSEMU","Communityproject","x86,x86-64","x86","Linux","DOS","GPLversion2"
"FreeBSDJail","Poul-HenningKamp/FreeBSD","AnyrunningFreeBSDorDragonFlyBSD","Sameashost","FreeBSD,DragonFlyBSD","sameashost(shared*BSDkernel),plusLinuxABIthroughcompatlayer","BSD"
"GXemul","AndersGavare","Any","ARM,MIPS,Motorola88000,PowerPC,SuperH","Unix-like","NetBSD,OpenBSD,Linux,Ultrix,Sprite","BSD"
