"Name","Firstrelease","Description","Language","OS","Memoryprotection?","Programanimation?","License","Mostrecentrelease"
"adb","1977","Unixstandarddebugger","Anycompiledtomachinecode","Unix","No","?","Proprietary",""
"AllineaDDT","2002","AllineaDDTDebugger","Anycompiledtomachinecode","Linux","Offersguardpageformemoryusagebugs","Yes","Proprietary","5.1,Aug2015"
"GDB","1986","GNUDebugger","Anycompiledtomachinecode","Unix-likesystems,Windows","No","Yes","GPL","9.1,Feb2020"
"IDB","2012","IntelDebugger","Anycompiledtomachinecode","Windows,Linux,OSX","No","?","Proprietary","13.0.1,2013"
"LLDB","2003?","LLVMDebugger","Anycompiledtomachinecode","macOSi386,x86-64andAArch64,iOS,Linux,FreeBSD,NetBSD,Windows","No","?","ApacheLicensev2.0withLLVMExceptions","12.0.1,Jul2021"
"mdb","1999","Solarisstandarddebugger(adb)successor","Anycompiledtomachinecode","Solaris","Yes(Memorydebugger)","?","CDDL","2016"
"TotalView","1998","Sourcecodeandmemoryserialandparalleldebugger","C++,C,CUDA,FORTRAN,MPI,OpenMP","Linux,AIX,Solaris,OSX,Cray,BlueGene","Yes(Memorydebugger)","Yes","Proprietary","2016.07,Nov2016"
"Valgrind","2007?","toolsuitefordebuggingandprofilingLinuxprograms","C,C++,Java,Perl,Python,assemblycode,Fortran,Ada,...","Linux,Darwin(MacOSX),Android","Yes","?","GPL","3.17.0,March2021"
"VisualStudioDebugger","1995","DebuggerinMicrosoftVisualStudio","C++,JavaScript,.netlanguages","Windows7,WindowsServer2008R2,Windows8,WindowsServer2012,Windows8.1,WindowsServer2012R2[4],Windows10,WindowsServer2016","Yes,(Managed)","Yes","Proprietary","March7,2017"
"XPEDITER","1980?","familyofmainframedebuggers","COBOL,PL/1&Assembler","z/OS","Yes(CICS)","Yes","Proprietary","z2.1,Oct2014"
