"English","StandardMalay","Indonesian"
"account","akaun","akun"
"accountability","akauntabliti","akuntabilitas"
"accountant","akauntan","akuntan"
"amateur","amatur","amatir"
"architect","arkitek","arsitek"
"armedforces","tentera","tentara"
"auction","lelong","lelang"
"autonomy","autonomi","otonomi"
"balcony","balkoni","balkon"
"bell","loceng","lonceng"
"because(grammaticalconjunction)","kerana","karena"
"biome","biom","bioma"
"bridge","jambatan","jembatan"
"broken,damaged","rosak","rusak"
"business","bisnes","bisnis"
"bus","bas","bus"
"cancer(diseases)","kanser","kanker"
"case(legal)","kes","kasus"
"cement","simen","semen"
"chancellor","canselor","kanselir"
"civil","sivil","sipil"
"community","komuniti","komunitas"
"concert","konsert","konser"
"counter","kaunter","konter"
"December","Disember","Desember"
"dialect","loghat","logat"
"diarrhea","diarea","diare"
"different","beza","beda"
"doctor(medicalpractitioner)","doktor","dokter"
"eight","lapan","delapan"
"Europe","Eropah","Eropa"
"export","eksport","ekspor"
"faculty","fakulti","fakultas"
"finance","kewangan","keuangan"
"garage","garaj","garasi"
"gonorrhea","gonorea","gonore"
"idea","idea","ide"
"immigration","imigresen","imigrasi"
"mathematics","matematik","matematika"
"magistrate","majistret","magistrat"
"meaning","erti","arti"
"medication","ubat","obat"
"minute","minit","menit"
"money","wang","uang"
"music","muzik","musik"
"namely,e.g.","iaitu","yaitu"
"news","khabar","kabar"
"newspaper","suratkhabar","suratkabar"
"number","nombor","nomor"
"official(adj.)","rasmi","resmi"
"officialposition","jawatan","jabatan"
"parliament","parlimen","parlemen"
"party(political)","parti","partai"
"passport","pasport","paspor"
"pencil","pensel","pensil"
"phase","fasa","fase"
"physics","fizik","fisika"
"plan","pelan","plan"
"popular","popular","populer"
"prestige","prestij","prestise"
"prototype","prototaip","prototipe"
"punishment(divine)","seksa","siksa"
"sauce","sos","saus"
"sausage","sosej","sosis"
"scenario","senario","skenario"
"schedule","jadual","jadwal"
"scheme","skim","skema"
"secret","rahsia","rahasia"
"snow","salji","salju"
"sputum","kahak","dahak"
"station","stesen","stasiun"
"taxi","teksi","taksi"
"tempo","tempoh","tempo"
"thin","nipis","tipis"
"Thursday","Khamis","Kamis"
"truck,lorry","trak","truk"
"university","universiti","universitas"
"want","mahu","mau"
"zone","zon","zona"
