"","Real","Complex","SPD","HPD","SY","HE","BND","TF","OF","EVP","SVD","GEVP","GSVD"
"ALGLIB","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No"
"ATLAS","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No"
"Dlib","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"GNUScientificLibrary","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"ILNumerics.Net","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"IMSLNumericalLibraries","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
"LAPACK","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MKL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NAGNumericalLibrary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NMath","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"SciPy(Pythonpackages)","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Eigen","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Armadillo","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
