"Name","Officialwebsite","Programminglanguage","Softwarelicense","Usedby"
"Boost.Regex","BoostC++Libraries","C++","Boost","Notepad++>=6.0.0,EmEditor"
"Boost.Xpressive","BoostC++Libraries","C++","Boost",""
"DEELX","RegExLab","C++","Freepersonalandcommercialuse",""
"FREJ","FuzzyRegularExpressionsforJava","Java","LGPL",""
"GLib/GRegex","GLibreferencemanual","C","LGPL",""
"GRETA","MicrosoftResearch","C++","Microsoft",""
"Gregex","GrovfInc.","RTL,HLS","Proprietary","FPGAaccelerated>100Gbit/sregexengineforcybersecurity,financial,e-commerceindustries."
"RXP","TitanIC","RTL","Proprietary","hardware-acceleratedsearchaccelerationusingRegExavailableforASIC,FPGAandcloud.Enablesmassivelyparallelcontentprocessingatultra-highspeeds."
"Hyperscan","Intel","C,x86-specificassembly(SSSE3+)","3-clauseBSD","Rspamd"
"ICU","InternationalComponentsforUnicode","C,C++","ICU","Foundation(AppleandSwiftopen-sourceversions)"
"Jakarta/Regexp","TheApacheJakartaProject","Java","Apache",""
"java.util.regex","Java'sUsermanual","Java","GNUGPLv2withClasspathexception","jEdit"
"JRegex","JRegex","Java","BSD",""
"MATLAB","RegularExpressions","MATLABLanguage","MATLAB,TheLanguageofTechnicalComputing",""
"Oniguruma","Kosako","C","BSD","Atom,TakeCommandConsole,TeraTerm,TextMate,SublimeText,SubEthaEdit,EmEditorandjq"
"Pattwo","Stevesoft","Java(compatiblewithJava1.0)","LGPL",""
"PCRE","pcre.org","C,C++","BSD","ApacheHTTPServer,Nginx,BBEdit,Julia,HHVM,Notepad++<6.0.0,PHP,Delphi,R,EximSWI-Prolog"
"Qt/QRegExp","Digia","C++","QtGNUGPLv.3.0,QtGNULGPLv.2.1,QtCommercial","Kate,Kile"
"regex-HenrySpencer'sregularexpressionlibraries","ArgList","C","BSD",""
"RE2","RE2","C++","BSD","Go,GoogleSheets,Gmail,GSuite"
"HenrySpencer'sAdvancedRegularExpressions","Tcl","C","BSD",""
"RGX","RGX","C++basedcomponentlibrary","P6R",""
"SubReg","MattBucknall","C","MIT",""
"TPerlRegEx","TPerlRegExVCLComponent","ObjectPascal","MPLv1.1",""
"TRE","VilleLaurikari","C","BSD","musl"
"TRegExpr","RegExpStudio","ObjectPascal","Dual-license:freeware,orLGPLwithstaticlinkingexception","TotalCommander"
"XRegExp","XRegExp","JavaScript","MIT",""
"WolframLanguage(Mathematica)","WolframLanguageDocumentationCenter","WolframLanguage","","Mathematica,theWolframDevelopmentPlatform"
