"Name","Parsingalgorithm","Outputlanguages","Grammar,code","Developmentplatform","License"
"AustenX","Packrat(modified)","Java","Separate","All","Free,BSD"
"Aurochs","Packrat","C,OCaml,Java","Mixed","All","Free,GNUGPL"
"BNFlite","Recursivedescent","C++","Mixed","All","Free,MIT"
"Canopy","Packrat","Java,JavaScript,Python,Ruby","Separate","All","Free,GNUGPL"
"CL-peg","Packrat","CommonLisp","Mixed","All","Free,MIT"
"Drat!","Packrat","D","Mixed","All","Free,GNUGPL"
"Frisby","Packrat","Haskell","Mixed","All","Free,BSD"
"grammar::peg","Packrat","Tcl","Mixed","All","Free,BSD"
"Grako","Packrat+Cut+LeftRecursion","Python,C++(beta)","Separate","All","Free,BSD"
"IronMeta","Packrat","C#","Mixed","Windows","Free,BSD"
"Laja","2-phasescannerlesstop-downbacktracking+runtimesupport","Java","Separate","All","Free,GNUGPL"
"lars::Parser","Packrat(supportingleft-recursionandgrammarambiguity)","C++","Identical","All","Free,BSD"
"LPeg","Parsingmachine","Lua","Mixed","All","Free,MIT"
"lug","Parsingmachine","C++17","Mixed","All","Free,MIT"
"Mouse","Recursivedescent","Java","Separate","Javavirtualmachine","Free,Apache2.0"
"Narwhal","Packrat","C","Mixed","POSIX,Windows","Free,BSD"
"Nearley","Earley","JavaScript","Mixed","All","Free,MIT"
"Nemerle.Peg","Recursivedescent+Pratt","Nemerle","Separate","All","Free,BSD"
"neotoma","Packrat","Erlang","Separate","All","Free,MIT"
"NPEG","Recursivedescent","C#","Mixed","All","Free,MIT"
"OMeta","Packrat(modified,partialmemoization)","JavaScript,Squeak,Python","Mixed","All","Free,MIT"
"PackCC","Packrat(modified,left-recursionsupport)","C","Mixed","All","Free,MIT"
"Packrat","Packrat","Scheme","Mixed","All","Free,MIT"
"Pappy","Packrat","Haskell","Mixed","All","Free,BSD"
"parboiled","Recursivedescent","Java,Scala","Mixed","Javavirtualmachine","Free,Apache2.0"
"LambdaPEG","Recursivedescent","Java","Mixed","Javavirtualmachine","Free,Apache2.0"
"parsepp","Recursivedescent","C++","Mixed","All","Free,publicdomain"
"Parsnip","Packrat","C++","Mixed","Windows","Free,GNUGPL"
"Patterns","Parsingmachine","Swift","Identical","All","Free,MIT"
"peg","Recursivedescent","C","Mixed","All","Free,MIT"
"PEG.js","Packrat(partialmemoization)","JavaScript","Mixed","All","Free,MIT"
"Peggy","Packrat(partialmemoization)","JavaScript","Mixed","All","Free,MIT"
"Pegasus","Recursivedescent,Packrat(selectively)","C#","Mixed","Windows","Free,MIT"
"pegc","Recursivedescent","C","Mixed","All","Free,publicdomain"
"pest","Recursivedescent","Rust","Separate","All","Free,MPL"
"PetitParser","Packrat","Smalltalk,Java,Dart","Mixed","All","Free,MIT"
"PEGTL","Recursivedescent","C++11,C++17","Mixed","All","Free,Boost"
"ParserGrammarEngine(PGE)","Hybridrecursivedescent/operatorprecedence","Parrotbytecode","Mixed","Parrotvirtualmachine","Free,Artistic2.0"
"PyPyrlib","Packrat","Python","Mixed","All","Free,MIT"
"Rats!","Packrat","Java","Mixed","Javavirtualmachine","Free,GNULGPL"
"Rekex","Recursivedescent","Java","Mixed","Javavirtualmachine","Free,Apache2.0"
"Spirit2","Recursivedescent","C++","Mixed","All","Free,Boost"
"Treetop","Recursivedescent","Ruby","Mixed","All","Free,MIT"
"Yard","Recursivedescent","C++","Mixed","All","Free,MITorpublicdomain"
"Waxeye","Parsingmachine","C,Java,JavaScript,Python,Racket,Ruby","Separate","All","Free,MIT"
"PHPPEG","PEGParser?","PHP","Mixed","All","Free,BSD"
