"Implementation","HMAC-MD5","HMAC-SHA1","HMAC-SHA256/384","AEAD","GOST28147-89IMIT","GOSTR34.11-94"
"Botan","No","Yes","Yes","Yes","No","No"
"BSAFE","Yes","Yes","Yes","Yes","No","No"
"cryptlib","Yes","Yes","Yes","Yes","No","No"
"GnuTLS","Yes","Yes","Yes","Yes","No","No"
"JSSE","DisabledbyDefault","Yes","Yes","Yes","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","Yes","Yes"
"MatrixSSL","Yes","Yes","Yes","Yes","No","No"
"MbedTLS","Yes","Yes","Yes","Yes","No","No"
"NSS","Yes","Yes","Yes","Yes","No","No"
"OpenSSL","Yes","Yes","Yes","Yes","Yes","Yes"
"SChannelXP/2003,Vista/2008","Yes","Yes","XPSP3,2003SP2viahotfix","No","No","No"
"SChannel7/2008R2,8/2012,8.1/2012R2","Yes","Yes","Yes","exceptECDHE_RSA","No","No"
"SChannel10","Yes","Yes","Yes","Yes","No","No"
"SecureTransport","Yes","Yes","Yes","Yes","No","No"
"wolfSSL","Yes","Yes","Yes","Yes","No","No"
"Erlang/OTPSSLapplication","Yes","Yes","Yes","Yes","No","No"
"Implementation","HMAC-MD5","HMAC-SHA1","HMAC-SHA256/384","AEAD","GOST28147-89IMIT","GOSTR34.11-94"
