"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"HousingDataSet","MedianhomevaluesofBostonwithassociatedhomeandneighborhoodattributes.","None.","506","Text","Regression","1993","","D.Harrisonetal."
"TheGettyVocabularies","structuredterminologyforartandothermaterialculture,archivalmaterials,visualsurrogates,andbibliographicmaterials.","None.","large","Text","Classification","2015","","GettyCenter"
"Yahoo!FrontPageTodayModuleUserClickLog","UserclicklogfornewsarticlesdisplayedintheFeaturedTaboftheTodayModuleonYahoo!FrontPage.","Conjointanalysiswithabilinearmodel.","45,811,883uservisits","Text","Regression,clustering","2009","","Chuetal."
"BritishOceanographicDataCentre","Biological,chemical,physicalandgeophysicaldataforoceans.22Kvariablestracked.","Various.","22Kvariables,manyinstances","Text","Regression,clustering","2015","","BritishOceanographicDataCentre"
"CongressionalVotingRecordsDataset","VotingdataforallUSArepresentativeson16issues.","Beyondtherawvotingdata,variousotherfeaturesareprovided.","435","Text","Classification","1987","","J.Schlimmer"
"EntreeChicagoRecommendationDataset","RecordofuserinteractionswithEntreeChicagorecommendationsystem.","Detailsofeachusersusageoftheapparerecordedindetail.","50,672","Text","Regression,recommendation","2000","","R.Burke"
"InsuranceCompanyBenchmark(COIL2000)","Informationoncustomersofaninsurancecompany.","Manyfeaturesofeachcustomerandtheservicestheyuse.","9,000","Text","Regression,classification","2000","","P.vanderPutten"
"NurseryDataset","Datafromapplicantstonurseryschools.","Dataaboutapplicant'sfamilyandvariousotherfactorsincluded.","12,960","Text","Classification","1997","","V.Rajkovicetal."
"UniversityDataset","Datadescribingattributedofalargenumberofuniversities.","None.","285","Text","Clustering,classification","1988","","S.Soundersetal."
"BloodTransfusionServiceCenterDataset","Datafrombloodtransfusionservicecenter.Givesdataondonorsreturnrate,frequency,etc.","None.","748","Text","Classification","2008","","I.Yeh"
"RecordLinkageComparisonPatternsDataset","Largedatasetofrecords.Taskistolinkrelevantrecordstogether.","Blockingprocedureappliedtoselectonlycertainrecordpairs.","5,749,132","Text","Classification","2011","","UniversityofMainz"
"NomaoDataset","Nomaocollectsdataaboutplacesfrommanydifferentsources.Taskistodetectitemsthatdescribethesameplace.","Duplicateslabeled.","34,465","Text","Classification","2012","","NomaoLabs"
"MovieDataset","Datafor10,000movies.","Severalfeaturesforeachmoviearegiven.","10,000","Text","Clustering,classification","1999","","G.Wiederhold"
"OpenUniversityLearningAnalyticsDataset","Informationaboutstudentsandtheirinteractionswithavirtuallearningenvironment.","None.","~30,000","Text","Classification,clustering,regression","2015","","J.Kuzileketal."
"Mobilephonerecords","Telecommunicationsactivityandinteractions","Aggregationpergeographicalgridcellsandevery15minutes.","large","Text","Classification,Clustering,Regression","2015","","G.Barlacchietal."
