"State","Highestcourt","Highcourtseats","Highcourtterm","Highcourtjudicialplacementmethod","Mandatoryretirementage"
"Alabama","SupremeCourtofAlabama","9","6years","Partisanelection",""
"Alaska","AlaskaSupremeCourt","5","10years","MissouriPlan",""
"Arizona","ArizonaSupremeCourt","7","6years","MissouriPlan","70"
"Arkansas","ArkansasSupremeCourt","7","8years","Non-partisanelection",""
"California","SupremeCourtofCalifornia","7","12years","ModifiedMissouriPlan",""
"Colorado","ColoradoSupremeCourt","7","10years","MissouriPlan",""
"Connecticut","ConnecticutSupremeCourt","7","8years","Electionbythestatelegislature","70"
"Delaware","DelawareSupremeCourt","5","12years","Appointmentbygovernor",""
"Florida","FloridaSupremeCourt","7","6years","ModifiedMissouriPlan","70(orendofcurrentterm)"
"Georgia","SupremeCourtofGeorgia","7","6years","Non-partisanelection",""
"Hawaii","SupremeCourtofHawaii","5","10years","AppointmentbytheGovernor","70"
"Idaho","IdahoSupremeCourt","5","6years","Non-partisanelection",""
"Illinois","SupremeCourtofIllinois","7","10years","Partisanelection",""
"Indiana","IndianaSupremeCourt","5","10years","MissouriPlan","75"
"Iowa","IowaSupremeCourt","7","8years","MissouriPlan","72"
"Kansas","KansasSupremeCourt","7","6years","MissouriPlan","70(orendofcurrentterm)"
"Kentucky","KentuckySupremeCourt","7","8years","Non-partisanelection",""
"Louisiana","SupremeCourtofLouisiana","7","10years","Partisanelection",""
"Maine","MaineSupremeJudicialCourt","7","7years","AppointmentbytheGovernor",""
"Maryland","MarylandCourtofAppeals","7","10years","AppointmentbytheGovernor","70"
"Massachusetts","MassachusettsSupremeJudicialCourt","7","Lifetime","AppointmentbytheGovernor","70"
"Michigan","MichiganSupremeCourt","7","8years","Non-partisanelection","Mustbeunder70attimeofelection"
"Minnesota","MinnesotaSupremeCourt","7","6years","Non-partisanelection","70"
"Mississippi","SupremeCourtofMississippi","9","8years","Non-partisanelection",""
"Missouri","SupremeCourtofMissouri","7","12years","MissouriPlan",""
"Montana","MontanaSupremeCourt","7","8years","Non-partisanelection",""
"Nebraska","NebraskaSupremeCourt","7","6years","MissouriPlan",""
"Nevada","SupremeCourtofNevada","7","6years","Non-partisanelection",""
"NewHampshire","NewHampshireSupremeCourt","5","Lifetime","AppointmentbyGovernor","70"
"NewJersey","NewJerseySupremeCourt","7","7years","AppointmentbyGovernor","70"
"NewMexico","NewMexicoSupremeCourt","5","8years","Partisanelection/Retentionelection",""
"NewYork","NewYorkCourtofAppeals","7","14years","AppointedbytheGovernor","70(atendofcalendaryear)"
"NorthCarolina","NorthCarolinaSupremeCourt","7","8years","Non-partisanelection",""
"NorthDakota","NorthDakotaSupremeCourt","5","10years","Non-partisanelection",""
"Ohio","OhioSupremeCourt","7","6years","Non-partisanelection","70(atendofterm)"
"Oklahoma","OklahomaSupremeCourtOklahomaCourtofCriminalAppeals","SupremeCourt:9CourtofCriminalAppeals:5","6years(both)","MissouriPlan",""
"Oregon","OregonSupremeCourt","7","6years","Non-partisanelection","75"
"Pennsylvania","SupremeCourtofPennsylvania","7","10years","Partisanelection","78"
"RhodeIsland","RhodeIslandSupremeCourt","5","Lifetime","MissouriPlan","None"
"SouthCarolina","SouthCarolinaSupremeCourt","5","10years","ElectionbyStateLegislature","72"
"SouthDakota","SouthDakotaSupremeCourt","5","8years","Non-partisanelection",""
"Tennessee","TennesseeSupremeCourt","5","8years","TennesseePlan(ModifiedMissouriPlan)",""
"Texas","TexasSupremeCourtTexasCourtofCriminalAppeals","9(both)","6years(both)","Partisanelection","75(mayfinishtermor4yearsofterm,whicheverisshorter)"
"Utah","UtahSupremeCourt","5","4years","MissouriPlan",""
"Vermont","VermontSupremeCourt","5","6years","ElectionbyStateLegislature",""
"Virginia","SupremeCourtofVirginia","7","12years","ElectionbyStateLegislature","70"
"Washington","WashingtonSupremeCourt","9","6years","Non-partisanelection","75"
"WestVirginia","SupremeCourtofAppealsofWestVirginia","5","12years","Partisanelection",""
"Wisconsin","WisconsinSupremeCourt","7","10years","Non-partisanelection",""
"Wyoming","WyomingSupremeCourt","5","8years","MissouriPlan",""
