"Fieldsandinitialization","Java","C#"
"Fields","Yes","Yes"
"Constants","Yes","Yes;butnosupportforconstantpassedparameters"
"Static(class)constructors","Yes","Yes"
"Instanceconstructors","Yes","Yes"
"Finalizers/destructors","Yes","Yes"
"Instanceinitializers","Yes","No;canbesimulatedwithinstanceconstructor"
"Objectinitialization","Bottom-up(fieldsandconstructors)","Top-down(fields);bottom-up(constructors)"
"Objectinitializers","Yes","Yes"
"Collectioninitializers","Staticvarargsmethods","Yes"
"Arrayinitializers","Yes","Yes"
