"Name","Foundedyear","Lateststableversion","Releaseyear","License","Online","Windows","MacOSX","Linux","BSD","Android","iOS","Programminglanguage","SDK?","Languages","Fonts","OutputFormats","Notes"
"GoogleDriveOCRorGoogleCloudVision","","","2015","Proprietary","Yes","Browser","Browser","Browser","Unknown","?","?","Unknown","Yes","200+","Allfonts","text","Googleblogpost"
"Tesseract","1985","4.1.1","2019","Apache","No","Yes","Yes","Yes","Yes","?","?","C++,C","Yes","100+","Anyprintedfont","Text,ALTO,hOCR,PDF,otherswithdifferentuserinterfacesortheAPI","CreatedbyHewlett-Packard;underfurtherdevelopmentbyGoogle"
"ABBYYFineReader","1989","15","2019","Proprietary","Yes","Yes","Yes","No","Yes","Yes","Yes","C/C++","Yes","192","Allfonts","DOC,DOCX,XLS,XLSX,PPTX,RTF,PDF,HTML,CSV,TXT,ODT,DjVu,EPUB,FB2","ABBYYalsosuppliesSDKsforembeddedandmobiledevices.Professional,CorporateandSiteLicenseEditionsforWindows,ExpressEditionforMac."
"E-aksharayan","2010","","","","","Yes","No","Yes","No","?","?","","","14","","RTF,TXT,BRL",""
"AspriseOCRSDK","1998","15","2015","Proprietary","Yes","Yes","Yes","Yes","Yes","?","?","Java,C#,VB.NET,C/C++/Delphi","Yes","20+","?","Plaintext,searchablePDF,XML","Java,C#,VB.NET,C/C++/DelphiSDKsforOCRandBarcoderecognitiononWindows,Linux,MacOSXandUnix."
"AnyDocSoftware","1989","?","?","Proprietary","No","Yes","No","No","No","?","?","VBScript","?","?","?","","Workswithstructured,semi-structured,andunstructureddocuments."
"CuneiForm","1996","1.1","2011-04-19","BSDvariant","No","Yes","Yes","Yes","Yes","?","?","C/C++","Yes","28","Anyprintedfont","HTML,hOCR,native,RTF,TeX,TXT","Enterprise-classsystem,cansavetextformattingandrecognizescomplicatedtablesofanystructure"
"DynamsoftOCRSDK","2003","8.2","2012","Proprietary","Yes","Yes","No","No","No","?","?","C/C++","Yes","40+","?","PDF,TXT",""
"OmniPage","1970s","19.2","2015","Proprietary","Yes","Yes","Yes","Yes","No","?","?","C/C++,C#","Yes","125","Machineandhandprintedfonts","DOC/DOCXXLS/XLSXPPTXRTFPDFPDF/ASearchablePDFHTMLTextXMLePUBMP3","ProductofNuanceCommunications"
"MicrosoftOfficeOneNote2007","2011","?","2007","Proprietary","No","Yes","No","No","No","?","?","?","?","?","?","",""
"GOCR","2000","0.52","2018-10-15","GPL","Yes","Yes","Yes","Yes","Yes","?","?","C","?","20+","?","",""
"Ocrad","?","0.26","2017-03-31","GPL","Yes","No","Yes","Yes","Yes","?","?","C++","Yes","Latinalphabet","?","","Commandline"
"SmartScore","1991","10.5.8","2015-07","Proprietary","No","Yes","Yes","No","No","?","?","?","?","?","?","","Formusicalscores"
"MicrosoftOfficeDocumentImaging","?","Office2007","2007","Proprietary","No","Yes","No","No","No","?","?","?","?","?","?","","UsesOmniPage"
"Puma.NET","?","?","2009-10-29","BSD","No","Yes","No","No","No","?","?","C#","Yes","28","Anyprintedfont","",".NETOCRSDKbasedonCognitiveTechnologies'CuneiFormrecognitionengine.WrapsPumaCOMserverandprovidessimplifiedAPIfor.NETapplications"
"ReadSoft","?","?","?","Proprietary","No","Yes","No","No","No","?","?","?","?","?","?","","Scan,captureandclassifybusinessdocumentssuchasinvoices,formsandpurchaseordersintegratedwithbusinessprocesses."
"Scantron","?","?","?","Proprietary","No","Yes","No","No","No","?","?","?","?","?","?","","Forworkingwithlocalizedinterfaces,correspondinglanguagesupportisrequired."
"OCRFeeder","2009-03","0.8.3","2014-12-22","GPL","No","No","No","Yes","No","?","?","Python","?","?","?","","Featuresafulluserinterfaceandhasacommand-linetoolforautomaticoperations.Hasitsownsegmentationalgorithmbutusessystem-wideOCRengineslikeTesseractorOcrad"
"OCRopus","2007","1.3.3","2017-12-16","Apache","No","No","Yes","Yes","Yes","?","?","Python","?","AlllanguagesusingLatinscript(otherlanguagescanbetrained)","NormalLatinscriptandFraktur(otherscriptscanbetrained)","TXT,hOCR,PDF","Pluggableframeworkunderactivedevelopment,usedforGoogleBooks"
"Name","Foundedyear","Lateststableversion","Releaseyear","License","Online","Windows","MacOSX","Linux","BSD","Android","iOS","Programminglanguage","SDK?","Languages","Fonts","OutputFormats","Notes"
