"Client","Bookmarks","Passwords","Favicons","Browsinghistory","Formhistory","add-ons","opentabs","Searchengineplugins","Webfeedsubscriptions","Dictionary","Other"
"BookmarkSync","Yes","No","No","No","No","No","No","No","No","No","No"
"BraveSync","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","Extensions,Apps,Themes,Settings"
"OperaLink","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Personalbar,speeddial,notes,typedbrowserhistory,contentblockerlist"
"FirefoxSync","Yes","Yes","No,butplannedtobeaddedinfuture","Last60days","Yes","Yes","Yes","No","Yes","No","opentabs,tabgroups,personas,preferences,add-ons(upto25MBbydefault)"
"GoogleChrome","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes","opentabs,add-ons,preferences"
"VivaldiSync","Yes","Yes","","Yes","Yes","?","","","","opentabs?,someSettings"
"","","","","","","","","","","",""
"Eversync","Yes","?","?","?","?","?","Yes","?","?","?","opentabs"
"floccus","Yes","No","No","No","No","?","Yes","No","No","No","opentabs"
"Client","Bookmarks","Passwords","Favicons","Browsinghistory","Formhistory","add-ons","","Searchengineplugins","Webfeedsubscriptions","Dictionary","Other"
