"Implementation","secp160k1(15)","secp160r1(16)","secp160r2(17)","secp192k1(18)","secp192r1prime192v1NISTP-192(19)","secp224k1(20)","secp224r1NISTP-244(21)","secp256k1(22)","secp256r1prime256v1NISTP-256(23)","secp384r1NISTP-384(24)","secp521r1NISTP-521(25)","arbitraryprimecurves(0xFF01)","arbitrarychar2curves(0xFF02)"
"Botan","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"BoringSSL","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes(disabledbydefault)","No","No"
"BSAFE","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No"
"GnuTLS","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No"
"JSSE","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Yes","Yes","Yes","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"MatrixSSL","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No"
"MbedTLS","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"NSS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"OpenSSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"SChannelVista/2008,7/2008R2,8/2012,8.1/2012R2,10","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"SecureTransport","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No"
"wolfSSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Erlang/OTPSSLapplication","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Implementation","secp160k1(15)","secp160r1(16)","secp160r2(17)","secp192k1(18)","secp192r1prime192v1NISTP-192(19)","secp224k1(20)","secp224r1NISTP-244(21)","secp256k1(22)","secp256r1prime256v1NISTP-256(23)","secp384r1NISTP-384(24)","secp521r1NISTP-521(25)","arbitraryprimecurves(0xFF01)","arbitrarychar2curves(0xFF02)"
