"","Imports","Exports","Exports","Exports","Imports","Imports","Imports","Exports"
"","EXR","DDS","KTX","others","EXR","DDS","KTX","others"
"3dsMax","Yes","Yes","?","BMP,Cineon,TGA,JPG,PNG,Cineon,RadianceHDR,SGI,RLA,RPF,AVI,MPEGandQuickTime,GIF,TIFF,PSD,MOV,YUV","?","?","?","?"
"ArtofIllusion","No","No","No","GIF,JPG,PNG,BMP,HDR,SVG","?","?","?","JPG,PNG,BMP,TIFF,HDR,QuickTime"
"AC3D","?","Yes","?","GIF,JPG,PNG,BMP,PPM,Targa,TIFF","?","Yes","?","GIF,JPG,PNG,BMP,PPM,Targa,TIFF"
"Blender","Yes","Yes","?","TGA,JPG,PNG,DPX,Cineon,RadianceHDR,Iris,SGIMovie,IFF,AVIandQuickTime,GIF,TIFF,PSD,MOV","Yes","?","?","TGA,JPG,PNG,DPX,Cineon,RadianceHDR,Iris,SGIMovie,IFF,AVIandQuickTime,GIF,TIFF,PSD,MOV"
"ElectricImageAnimationSystem","?","?","?","TGA,JPG,PNG,BMP,RadianceHDR,AVIandQuickTime,TIFF,PSD,MOV","?","?","?","PNG,BMP,AVIandQuickTimeGIF,TIFF,MOV"
"Cinema4D","Yes","Yes","?","RadianceHDR,BodyPaint3D,TIFF,PSD","Yes","Yes","?","RadianceHDR,BodyPaint3D,TIFF,PSD"
"Clara.io","Yes","Yes","?","PNG,JPG","?","?","?","?"
"Cobalt","?","?","?","BMP,GIF,JPEG,PICT,PNG,PPM,XBM,XPM","?","?","?","BMP,GIF,JPEG,PICT,PNG,PPM,XBM,XPM"
"Houdini","Yes","?","?","?","Yes","?","?","?"
"IClone","?","?","?","JPG,BMP,GIF,TGA,PNG,AVI,WMV,MP3,WAV,popVideo","?","?","?","JPG,BMP,GIF,TGA,PNG,WMV,AVI,MP4,popVideo,FLV,iWidget"
"Lightwave3D","Yes","?","?","TGA,JPG,PNG,AI,EPS,BMP,IFF,RadianceHDR,AVIandQuickTime,GIF,TIFF,PSD,MOV","Yes","?","?","TGA,JPG,PNG,BMP,RadianceHDR,IFF,AVIandQuickTime,GIF,TIFF,PSD,MOV"
"MakeHuman","?","?","?","?","?","?","?","?"
"Maya","Yes","?","?","Ai,Aiff,Pix,AVI,Cineon,EPS,GIF,Jpeg,Swf,MayaIFF,Maya16IFF,MacPaint,PSD,PNG,Quantel,Quickdraw,MOV,RLA,SVG,SGI,SGI16,SGIMovie,TGA,TIF,BMP,HDR","Yes","Yes","?","MayaIFF,AVI,QT,GIF,Softimage,RLA,BMP,TIF,SGIRGB,AliasPIX,Jpeg,EPS,Cineon,Quantel,TGA,Macpaint,PSD,PNG,Quickdraw"
"Metasequoia","EXversiononly","Yes","No","BMP,JPG,PNG,IFF,TGA,PPM,TIFF,PSD,RadianceHDR","?","?","?","?"
"Modo","Yes","?","?","TGA,BMP,FLX,GIF,HDR,HDR,JP2,JPG,JPEG,PNG,SGI,EPS,AI,PSD","Yes","?","?","TGA,BMP,FLX,GIF,HDR,JP2,JPG,JPEG,PNG,TIF,MOV,MWV,PSD"
"Remo3D","?","Yes","?","BMP,GIF,JPG,PNG,PNM,SGI(RGB),TGA,TIF","?","?","?","JPG,PNG,SGI(RGB),TIF,XPM"
"Shade","Yes","(DDSConverterplugin)","?","?","Yes","(DDSConverterplugin)","?","QuickTimeVR,PiranesiEPix"
"Softimage","?","?","?","?","?","?","?","?"
"SolidEdge","?","?","?","?","?","?","?","?"
"SketchUpMake","?","?","?","JPG,PNG,TIF,TGA,BMP","?","?","?","JPG,PNG,TIF,BMP"
"SketchUpPro","?","?","?","JPG,PNG,TIF,TGA,BMP","?","?","?","JPG,PNG,TIF,BMP,MOV(onMac),AVI(onWindows)"
"E-onVue","?","?","?","?","?","?","?","?"
"Wings3D","?","?","?","?","?","?","?","?"
