"","DataDomain","Cursor","Trigger","Function","Procedure","Externalroutine"
"4thDimension","Yes","No","Yes","Yes","Yes","Yes"
"ADABAS","?","Yes","?","Yes?","Yes?","Yes"
"AdaptiveServerEnterprise","Yes","Yes","Yes","Yes","Yes","Yes"
"AdvantageDatabaseServer","Yes","Yes","Yes","Yes","Yes","Yes"
"Altibase","Yes","Yes","Yes","Yes","Yes","Yes"
"ApacheDerby","No","Yes","Yes","Yes","Yes","Yes"
"ClustrixDB","No","Yes","No","Yes","Yes","Yes"
"CUBRID","Yes","Yes","Yes","Yes","Yes","Yes"
"EmpressEmbeddedDatabase","YesviaRANGECHECK","Yes","Yes","Yes","Yes","Yes"
"EXASolution","Yes","No","No","Yes","Yes","Yes"
"DB2","YesviaCHECKCONSTRAINT","Yes","Yes","Yes","Yes","Yes"
"Firebird","Yes","Yes","Yes","Yes","Yes","Yes"
"HSQLDB","Yes","No","Yes","Yes","Yes","Yes"
"H2","Yes","No","Yes","Yes","Yes","Yes"
"InformixDynamicServer","YesviaCHECK","Yes","Yes","Yes","Yes","Yes"
"Ingres","Yes","Yes","Yes","Yes","Yes","Yes"
"InterBase","Yes","Yes","Yes","Yes","Yes","Yes"
"LinterSQLRDBMS","No","Yes","Yes","Yes","Yes","No"
"LucidDB","No","Yes","No","Yes","Yes","Yes"
"MariaDB","Yes","Yes","Yes","Yes","Yes","Yes"
"MaxDB","Yes","Yes","Yes","Yes","Yes","?"
"MicrosoftAccess(JET)","Yes","No","No","No","Yes,ButsingleDML/DDLOperation","Yes"
"MicrosoftVisualFoxpro","No","Yes","Yes","Yes","Yes","Yes"
"MicrosoftSQLServer","Yes","Yes","Yes","Yes","Yes","Yes"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","No","Yes","No","No","No","No"
"MimerSQL","Yes","Yes","Yes","Yes","Yes","No"
"MonetDB","No","No","Yes","Yes","Yes","Yes"
"MySQL","No","Yes","Yes","Yes","Yes","Yes"
"OpenBaseSQL","Yes","Yes","Yes","Yes","Yes","Yes"
"Oracle","Yes","Yes","Yes","Yes","Yes","Yes"
"OracleRdb","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes","Yes","Yes"
"PervasivePSQL","Yes","Yes","Yes","Yes","Yes","No"
"PolyhedraDBMS","No","No","Yes","Yes","Yes","Yes"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","Yes"
"RaimaDatabaseManager","No","Yes","No","No","Yes","Yes"
"RDMServer","No","Yes","Yes","No","Yes","Yes"
"SAPHANA","?","?","?","?","?","?"
"solidDB","Yes","Yes","Yes","Yes","Yes","Yes"
"SQLAnywhere","Yes","Yes","Yes","Yes","Yes","Yes"
"SQLite","No","No","Yes","No","No","Yes"
"Teradata","No","Yes","Yes","Yes","Yes","Yes"
"UniData","No","No","Yes","Yes","Yes","Yes"
"UniVerse","No","No","Yes","Yes","Yes","Yes"
"","DataDomain","Cursor","Trigger","Function","Procedure","Externalroutine"
