"ADCclient","MagnetURI","UPnP","NATtraversal","DHT","Encryption","IPv6","Plugin/API","Proxy","Hashalgorithms","Protocolsupport","NMDCcompatible","Other"
"AirDC++","Yes","Yes","Yes","No","Yes","Yes","WebAPI","Yes","Tigertreehash","TIGR,ADCS,UCMD,BLOM,NATT,SEGA,PFSR,KEYP,PBD1,UBN1,MCN1,SUDP,QP,HBRI,ASCH","Yes",""
"AirDC++WebClient","Yes","Yes","Yes","No","Yes","Yes","WebAPI","Yes","Tigertreehash","InheritsfromAirDC++","Yes",""
"ApexDC++","Yes","Yes","Yes","Yes","Yes","No","C++,Lua","Yes","Tigertreehash","InheritsfromStrongDC++","Yes",""
"DC++","Yes","Yes","Yes","No","Yes","Yes","C++,Lua","Yes","Tigertreehash","TIGR,ADCS,UCMD,BLOM,NATT,SEGA","Yes",""
"jucy","Yes","Yes","No","No","Yes","Yes","EclipseRCP","Yes","Tigertreehash","TIGR,ADCS,UCMD,BLOM,KEYP,SUDP","Yes",""
"LinuxDC++","Yes","Yes","No","No","Yes","No","No","Yes","Tigertreehash","InheritsfromDC++","Yes",""
"EiskaltDC++","Yes","Yes","Yes","Yes","Yes","No","Lua,QtScript,QML","Yes","Tigertreehash","TIGR,ADCS,UCMD,BLOM,NATT,SEGA,PFSR,KEYP,FS","Yes",""
"FlylinkDC++","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Tigertreehash","InheritsfromStrongDC++","Yes",""
"RSX++","Yes","Yes","No","Yes","Yes","No","C++,Lua","Yes","Tigertreehash","InheritsfromStrongDC++","Yes",""
"TKDC++","Yes","Yes","Yes","No","Yes","No","C++,Lua","Yes","Tigertreehash","TIGR,ADCS,UCMD,BLOM,NATT,SEGA,PFSR","Yes",""
"StrongDC++","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Tigertreehash","TIGR,ADCS,UCMD,BLOM,NATT,SEGA,PFSR,QP","Yes",""
"ncdc","No","No","No","No","Yes","Yes","No","No","Tigertreehash","TIGR,ADCS,KEYP,SUDP","Yes",""
"ADCclient","MagnetURI","UPnP","NATtraversal","DHT","Encryption","IPv6","Plugin","Proxy","Hashalgorithms","Protocolsupport","NMDCcompatible","Other"
