"Licenceandversion","FSFapproval","GPL(v3)compatibility","OSIapproval","Debianapproval","Fedoraapproval"
"AcademicFreeLicense","Yes","No","Yes","No","Yes"
"AfferoGeneralPublicLicense3.0","Yes","Yes","Yes","Yes","Yes"
"ApacheLicense1.x","Yes","No","Yes","Yes","Yes"
"ApacheLicense2.0","Yes","GPLv3only","Yes","Yes","Yes"
"ApplePublicSourceLicense1.x","No","No","Yes","No","No"
"ApplePublicSourceLicense2.0","Yes","No","Yes","No","Yes"
"ArtisticLicense1.0","No","No","Yes","Yes","No"
"ArtisticLicense2.0","Yes","Yes","Yes","Yes","Yes"
"BeerwareLicense","see""informallicence""section","see""informallicense""section","No","No","Yes"
"OriginalBSDlicense","Yes","No","No","Yes","Yes"
"RevisedBSDlicense","Yes","Yes","Yes","Yes","Yes"
"SimplifiedBSDlicense","Yes","Yes","Yes","Yes","Yes"
"Zero-ClauseBSDLicense","?","?","Yes","?","?"
"BoostSoftwareLicense","Yes","Yes","Yes","Yes","Yes"
"CeCILL","Yes","Yes","Yes","Yes","Yes"
"CommonDevelopmentandDistributionLicense","Yes","GPLv3(GPLv2disputed)","Yes","Yes","Yes"
"CommonPublicLicense","Yes","No","Yes","Yes","Yes"
"CreativeCommonsZero","Yes","Yes","No","Partial","Yes"
"CreativeCommonsBY-SA4.0","Yes","GPLv3","?","Yes","?"
"CryptixGeneralLicense","Yes","Yes","Yes","Yes","Yes"
"EclipsePublicLicense","Yes","No","Yes","Yes","Yes"
"EducationalCommunityLicense","Yes","Yes","Yes","No","Yes"
"EiffelForumLicense2","Yes","Yes","Yes","Yes","Yes"
"EuropeanUnionPublicLicence","Yes","Yes","Yes","Yes","Yes"
"GNUAfferoGeneralPublicLicense","Yes","Yes","Yes","Yes","Yes"
"GNUGeneralPublicLicensev2","Yes","No","Yes","Yes","Yes"
"GNUGeneralPublicLicensev3","Yes","Yes","Yes","Yes","Yes"
"GNULesserGeneralPublicLicense","Yes","Yes","Yes","Yes","Yes"
"GNUFreeDocumentationLicense","Yes","No","Yes","No","No"
"IBMPublicLicense","Yes","No","Yes","Yes","Yes"
"IntelOpenSourceLicense","Yes","Yes","Yes","No","No"
"ISClicense","Yes","Yes","Yes","Yes","Yes"
"LaTeXProjectPublicLicense","Yes","No","Yes","Yes","Yes"
"MicrosoftPublicLicense","Yes","No","Yes","No","Yes"
"MicrosoftReciprocalLicense","Yes","No","Yes","No","Yes"
"MITlicense/X11license","Yes","Yes","Yes","Yes","Yes"
"MozillaPublicLicense1.1","Yes","No","Yes","Yes","Yes"
"MozillaPublicLicense2.0","Yes","Yes","Yes","Yes","Yes"
"NASAOpenSourceAgreement","No","No","Yes","?","No"
"NetscapePublicLicense","Yes","No","No","No","Yes"
"OpenSoftwareLicense","Yes","No","Yes","No","Yes"
"OpenSSLlicense","Yes","No","No","Yes","Yes"
"PHPLicense","Yes","No","Yes","Yes","Yes"
"PythonSoftwareFoundationLicense2.0.1;2.1.1andnewer","Yes","Yes","Yes","Yes","Yes"
"QPublicLicense","Yes","No","Yes","No","Yes"
"ReciprocalPublicLicense1.5","No","No","Yes","No","No"
"SleepycatLicense","Yes","Yes","Yes","Yes","Yes"
"SunIndustryStandardsSourceLicense","Yes","No","Yes","No","Yes"
"SunPublicLicense","Yes","No","Yes","No","Yes"
"SybaseOpenWatcomPublicLicense","No","No","Yes","No","No"
"Unlicense","Yes","Yes","Yes","?","Yes"
"W3CSoftwareNoticeandLicense","Yes","Yes","Yes","Yes","Yes"
"DoWhatTheFuckYouWantToPublicLicense(WTFPL)","Yes","Yes","No","Yes","Yes"
"XFree861.1License","Yes","Yes","No","No","No"
"zlib/libpnglicense","Yes","Yes","Yes","Yes","Yes"
"ZopePublicLicense1.0","Yes","No","No","No","Yes"
"ZopePublicLicense2.0","Yes","Yes","Yes","No","Yes"
