"Datatypes","Java","C#"
"Arbitrary-sizedecimals","Referencetype;nooperators","Thirdpartylibrary"
"Arbitrary-sizeintegers","Referencetype;nooperators","Yes"
"Arrays","Yes","Yes"
"Booleantype","Yes","Yes"
"Character","Yes","Yes"
"Complexnumbers","Third-partylibrary","Yes"
"Date/time","Yes;referencetype","Yes;valuetype"
"Enumeratedtypes","Yes;referencetype","Yes;scalar"
"High-precisiondecimalnumber","No;butsee'Arbitrary-sizedecimals'above","128-bit(28digits)Decimaltype"
"IEEE754binary32floatingpointnumber","Yes","Yes"
"IEEE754binary64floatingpointnumber","Yes","Yes"
"Lifted(nullable)types","No;butwrappertypes","Yes"
"Pointers","No;onlymethodreferences","Yes"
"Referencetypes","Yes","Yes"
"Signedintegers","Yes;8,16,32,64bits","Yes;8,16,32,64bits"
"Strings","Immutablereferencetype,Unicode","Immutablereferencetype,Unicode"
"Typeannotations","Yes","Yes"
"Single-root(unified)typesystem","No;butwrappertypes","Yes"
"Tuples","No;limited3rdpartyavailable.","Yes"
"Unsignedintegers","No;butsomemethodsupport.","Yes;8,16,32,64bits"
"Valuetypes","No;onlyprimitivetypes","Yes"
