"Numberobject","MSHTML","Gecko","WebKit","Presto"
"Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction"
"Number([value])","?","Yes","Yes","?"
"Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor"
"newNumber([value])","3.0","1.0","Yes","1.0"
"Properties","Properties","Properties","Properties","Properties"
"prototype","4.0","1.0","Yes","1.0"
"MAX_VALUE","4.0","1.0","Yes","1.0"
"MIN_VALUE","4.0","1.0","Yes","1.0"
"NaN","4.0","1.0","Yes","1.0"
"NEGATIVE_INFINITY","4.0","1.0","Yes","1.0"
"POSITIVE_INFINITY","4.0","1.0","Yes","1.0"
"Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype"
"constructor","4.0","1.0","Yes","1.0"
"toString([radix])","4.0","1.0","Yes","1.0"
"toLocaleString()","5.5","1.0","Yes","1.0"
"valueOf()","4.0","1.0","Yes","1.0"
"toFixed(fractionDigits)","5.5","1.0","Yes","1.0"
"toExponential(fractionDigits)","5.5","1.0","Yes","1.0"
"toPrecision(precision)","5.5","1.0","Yes","1.0"
