"BitTorrentclient","GUI","Remote","CLI","Other","Programminglanguage","Basedon","IPv6","?TP"
"BitComet","Yes","Yes","Partial","No","C++","-","Yes","No"
"BitLord","Yes","No","No","No","Python,C++","libtorrent(Rasterbar)","Yes","No"
"BitTorrent5,Mainline","Yes","No","Partial","No","Python","-","No","No"
"BitTorrent6","Yes","Yes","Partial","No","C++","?Torrent","Yes","Yes"
"Deluge","Yes","Yes","Yes","Daemon","Python,C++","libtorrent(Rasterbar)","Yes","Yes"
"FlashGet","Yes","No","No","No","?","?","No","No"
"FreeDownloadManager","Yes","Yes","Partial","No","C++","libtorrent(Rasterbar)","No","No"
"Frostwire","Yes","No","No","No","Java","libtorrent(Rasterbar)","No","Yes"
"KGet","Yes","Yes","Partial","No","C++","-","Yes","No"
"KTorrent","Yes","Yes","Partial","No","C++","-","Yes","Yes"
"LimeWire","Yes","No","No","No","Java","libtorrent(Rasterbar)","No","No"
"Miro","Yes","No","No","No","C++","libtorrent(Rasterbar)","No","No"
"MLDonkey","No","ThirdParty","Partial","Telnet","OCaml","-","No","No"
"?Torrent","Yes","Yes","No","RESTfulWebAPI","C++","-","Yes","Yes"
"Opera12","Yes","No","No","No","C++","-","Yes","No"
"qBittorrent","Yes","Yes","Partial","No","Python,C++","libtorrent(Rasterbar)","Yes","Yes"
"rTorrent","No","ThirdParty","Yes","SCGI","C++","[libTorrent](Rakshasa)","Yes","No"
"Shareaza","Yes","Yes","Partial","No","C++","-","No","No"
"Tixati","Yes","Yes","No","Webinterface","C++","-","Yes","Yes"
"Tonido","No","Yes","No","No","C++","libtorrent(Rasterbar)","No","No"
"Transmission","Yes","Yes","Yes","Daemon,JSON-RPCoverHTTPremotecontrolAPI","C,Objective-C","libtransmission","Yes","Yes"
"Tribler","Yes","Partial","Partial","No","Python,C++","libtorrent(Rasterbar)","No","Yes"
"Vuze(formerlyAzureus)","Yes","Yes","Partial","Telnet,XMLoverHTTPremotecontrolAPI","Java,SWT","-","Yes","Yes"
"Xunlei","Yes","No","No","remotecontroloverinternet","C++","-","No","No"
"BitTorrentclient","GUI","Web","CLI","Other","Programminglanguage","Basedon","IPv6","?TP"
