"ResearchNetworkingTool","ProfiledUserPopulation","CanUsersUpdateTheirOwnProfileData?","TypeofNetworking(ActiveorPassive)","IncludesFunctionalitytoMatchExpertisewithFundingOpportunities"
"AcademicRoom","Anyonecancreateaprofile.Profiledcategoriesinclude""Faculty"",""GradStudents"",""Undergrads"",""Professionals""","Yes","Active","No"
"AcademicLabs","ResearchGroupprofilesandprofilesforallresearcherswithORCID,publications,patents,clinicaltrialsorfundedprojects.","Yes","ActiveandPassive","Yes"
"ActivityInsight","Faculty,Staff,GraduateStudents","Yes","ActiveandPassive","Yes"
"C-IKNOW","DefinedusingWebofscienceIDoronanadhocbasis","No","ActiveandPassive","No"
"PROFILESbyMentis(formerlyCollaborativePartnership/ProfileSystem)","Faculty,Students,Staff,EquipmentOwners,ResearchCenters,Facilities,Technologies,Unitsetc.asperinstitution'sneeds","Yes","ActiveandPassive","Yes"
"CommunityAcademicProfiles-CAP","ActiveStanfordphysicians,SchoolofMedicinefaculty,students,staffandpostdocs.","Yes","ActiveandPassive","Unknown"
"CurvitaProfileManager","All","Unknown","Nonetworking","Unknown"
"CUSP-ColumbiaUniversityScientificProfiles","AllColumbiafaculty","Yes","Active","Unknown"
"DigitalVita","All","Yes","Passive","Unknown"
"Elsevier'sPure","Anyresearcherscanbeincluded","YestheAdministrationmoduleenablesuserstoentercontentintotheirprofilesviaforms,uploadsorimports.Contenttypessupportedinclude(butnotlimitedto):Persons,awardedgrants,journals,orgunits,projects,events,equipment,activities,pressclippings,fundingopportunities,researchoutputs(fromjournalarticlestomemorandumsofunderstanding),impacts,applications,datasets,studenttheses,coursestaughtandprizes","ActiveandPassive","YesFundingInstitutoinalwithinPureinteractswithPurecollectingfundingopportunitiestotheprofileresearcherpagewithnomanualeffort."
"Elsevier'sSciVal","Allpublishedresearchers","Yes,SciVallinkstoprofilesinScopusandresearcherscansubmitfeedbackonprofileswithinScopustohavepapersaddedorremoved.","Passive","No"
"EpernicusSolutions&EpernicusNetwork","Anyonewhoentersaprofile(forEpernicusNetwork)","Yes(forEpernicusNetwork)","Passive","Unknown"
"Epistemio","Anyresearcherwhocreatesaprofile","Yes","N/A","No"
"ERIMMemberProfileSystem(ERIMMIS)","MultiplefacultiesatErasmususeit","Unknown","Active","Unknown"
"Esploro","Faculty,Staff,LibraryStaff,GraduateStudents","Yes","ActiveandPassive","Yes(integrationwithPivotandResearchProfessional)"
"EUREKA!EnhancingStudentResearch","UniversityofTexasatAustinfaculty","Unknown","Nonetworking","Unknown"
"Expertise@Maryland","All","Unknown","Currentlypassive,butbuildingactive","Unknown"
"FacultyProfileSystem","AnyfacultyatUCIrvine","Yes","Nonetworking","Unknown"
"FacultyResearchInformationProfile(FRIP)","N/A","N/A","N/A","N/A"
