"","Sourcecodeprovided","Ajaxuse","Digitaldownloads","eBaylistingintegration","eBayorderimport","Multipleskins","Pointofsaleordermanagement","Subscriptions","Taxation","Templateengine"
"ApacheOFBiz","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BigCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"DrupalCommerce","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"nopCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Magento","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"pimcore","Yes","Yes","Yes","No","No","3rdparty","Yes","Yes","Yes","Yes"
"OpenCart","Yes","Yes","Yes","Add-on","Add-on","Yes","No","Yes","Yes","Yes"
"osCommerce","Yes","Yes","Yes","3rdparty","3rdparty","Yes","Yes","Yes","Yes","Yes"
"PrestaShop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"SupaDupa","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes"
"WooCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZenCart","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes"
"","Sourcecodeprovided","Ajaxuse","Digitaldownloads","eBaylistingintegration","eBayorderimport","Multipleskins","Pointofsaleordermanagement","Subscriptions","Taxation","Templateengine"
