"Implementation","sect163k1NISTK-163(1)","sect163r1(2)","sect163r2NISTB-163(3)","sect193r1(4)","sect193r2(5)","sect233k1NISTK-233(6)","sect233r1NISTB-233(7)","sect239k1(8)","sect283k1NISTK-283(9)","sect283r1NISTB-283(10)","sect409k1NISTK-409(11)","sect409r1NISTB-409(12)","sect571k1NISTK-571(13)","sect571r1NISTB-571(14)"
"Botan","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BoringSSL","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BSAFE","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"GnuTLS","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"JSSE","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes"
"LibreSSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MatrixSSL","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MbedTLS","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"NSS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenSSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SChannelVista/2008,7/2008R2,8/2012,8.1/2012R2,10","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"SecureTransport","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"wolfSSL","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Erlang/OTPSSLapplication","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Implementation","sect163k1NISTK-163(1)","sect163r1(2)","sect163r2NISTB-163(3)","sect193r1(4)","sect193r2(5)","sect233k1NISTK-233(6)","sect233r1NISTB-233(7)","sect239k1(8)","sect283k1NISTK-283(9)","sect283r1NISTB-283(10)","sect409k1NISTK-409(11)","sect409r1NISTB-409(12)","sect571k1NISTK-571(13)","sect571r1NISTB-571(14)"
